task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,id
hamiltonian_path,"[(7, 4), (7, 2), (7, 3), (4, 5), (2, 3), (2, 1), (3, 6), (3, 1), (3, 0), (6, 0), (1, 0)]","{7: [4, 2, 3],
4: [7, 5],
2: [7, 3, 1],
3: [7, 6, 1, 0, 2],
5: [4],
6: [3, 0],
1: [3, 2, 0],
0: [3, 6, 1]}","Node 7 is connected to nodes 4, 2, 3.
Node 4 is connected to nodes 7, 5.
Node 2 is connected to nodes 7, 3, 1.
Node 3 is connected to nodes 7, 6, 1, 0, 2.
Node 5 is connected to node 4.
Node 6 is connected to nodes 3, 0.
Node 1 is connected to nodes 3, 2, 0.
Node 0 is connected to nodes 3, 6, 1.","[0, 1, 2, 3, 4, 5, 6, 7]",8,11,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[3, 6, 0, 1, 2, 7, 4, 5]",0
hamiltonian_path,"[(4, 13), (4, 6), (4, 11), (4, 3), (13, 0), (13, 3), (13, 1), (6, 9), (6, 5), (11, 7), (11, 13), (3, 8), (3, 13), (0, 13), (0, 7), (0, 5), (0, 3), (1, 10), (1, 5), (9, 4), (9, 6), (9, 3), (9, 12), (9, 7), (9, 11), (12, 2), (12, 4), (12, 5), (7, 6), (7, 1), (7, 10), (7, 0), (7, 12), (7, 4), (10, 12), (10, 0), (10, 11), (10, 13), (2, 1), (2, 6), (2, 10), (5, 13), (5, 12), (8, 4), (8, 7), (8, 1), (8, 10)]","{4: [13, 6, 11, 3],
13: [0, 3, 1],
6: [9, 5],
11: [7, 13],
3: [8, 13],
0: [13, 7, 5, 3],
1: [10, 5],
9: [4, 6, 3, 12, 7, 11],
12: [2, 4, 5],
7: [6, 1, 10, 0, 12, 4],
10: [12, 0, 11, 13],
2: [1, 6, 10],
5: [13, 12],
8: [4, 7, 1, 10]}","Node 4 is connected to nodes 13, 6, 11, 3.
Node 13 is connected to nodes 0, 3, 1.
Node 6 is connected to nodes 9, 5.
Node 11 is connected to nodes 7, 13.
Node 3 is connected to nodes 8, 13.
Node 0 is connected to nodes 13, 7, 5, 3.
Node 1 is connected to nodes 10, 5.
Node 9 is connected to nodes 4, 6, 3, 12, 7, 11.
Node 12 is connected to nodes 2, 4, 5.
Node 7 is connected to nodes 6, 1, 10, 0, 12, 4.
Node 10 is connected to nodes 12, 0, 11, 13.
Node 2 is connected to nodes 1, 6, 10.
Node 5 is connected to nodes 13, 12.
Node 8 is connected to nodes 4, 7, 1, 10.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",14,47,True,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[8, 10, 0, 7, 4, 11, 13, 1, 5, 12, 2, 6, 9, 3]",1
hamiltonian_path,"[(3, 1), (3, 14), (3, 9), (3, 13), (1, 14), (1, 0), (1, 9), (14, 3), (14, 5), (14, 9), (9, 8), (9, 12), (9, 0), (9, 1), (9, 4), (9, 5), (9, 6), (9, 3), (13, 3), (13, 4), (13, 10), (13, 9), (13, 12), (0, 7), (0, 2), (0, 12), (0, 6), (0, 4), (0, 14), (0, 13), (7, 10), (7, 9), (7, 13), (2, 14), (2, 0), (2, 9), (2, 4), (2, 11), (2, 7), (12, 7), (12, 5), (12, 14), (12, 4), (12, 13), (12, 3), (12, 11), (6, 12), (6, 11), (6, 3), (6, 5), (4, 8), (4, 6), (4, 9), (4, 5), (4, 1), (4, 10), (10, 2), (10, 11), (10, 14), (10, 0), (10, 9), (8, 2), (8, 1), (8, 9), (8, 14), (8, 7), (5, 6), (5, 2), (11, 14), (11, 5), (11, 8), (11, 13)]","{3: [1, 14, 9, 13],
1: [14, 0, 9],
14: [3, 5, 9],
9: [8, 12, 0, 1, 4, 5, 6, 3],
13: [3, 4, 10, 9, 12],
0: [7, 2, 12, 6, 4, 14, 13],
7: [10, 9, 13],
2: [14, 0, 9, 4, 11, 7],
12: [7, 5, 14, 4, 13, 3, 11],
6: [12, 11, 3, 5],
4: [8, 6, 9, 5, 1, 10],
10: [2, 11, 14, 0, 9],
8: [2, 1, 9, 14, 7],
5: [6, 2],
11: [14, 5, 8, 13]}","Node 3 is connected to nodes 1, 14, 9, 13.
Node 1 is connected to nodes 14, 0, 9.
Node 14 is connected to nodes 3, 5, 9.
Node 9 is connected to nodes 8, 12, 0, 1, 4, 5, 6, 3.
Node 13 is connected to nodes 3, 4, 10, 9, 12.
Node 0 is connected to nodes 7, 2, 12, 6, 4, 14, 13.
Node 7 is connected to nodes 10, 9, 13.
Node 2 is connected to nodes 14, 0, 9, 4, 11, 7.
Node 12 is connected to nodes 7, 5, 14, 4, 13, 3, 11.
Node 6 is connected to nodes 12, 11, 3, 5.
Node 4 is connected to nodes 8, 6, 9, 5, 1, 10.
Node 10 is connected to nodes 2, 11, 14, 0, 9.
Node 8 is connected to nodes 2, 1, 9, 14, 7.
Node 5 is connected to nodes 6, 2.
Node 11 is connected to nodes 14, 5, 8, 13.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",15,72,True,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[11, 5, 6, 3, 1, 14, 9, 8, 7, 13, 12, 4, 10, 0, 2]",2
hamiltonian_path,"[(13, 0), (13, 3), (13, 7), (0, 8), (0, 5), (3, 4), (3, 10), (7, 5), (7, 8), (7, 12), (7, 9), (7, 4), (7, 1), (8, 4), (8, 6), (5, 2), (5, 9), (2, 10), (9, 6), (12, 11), (12, 6), (4, 1), (4, 6), (1, 11), (6, 10), (10, 11)]","{13: [0, 3, 7],
0: [13, 8, 5],
3: [13, 4, 10],
7: [13, 5, 8, 12, 9, 4, 1],
8: [0, 7, 4, 6],
5: [0, 7, 2, 9],
2: [5, 10],
9: [5, 7, 6],
12: [7, 11, 6],
4: [7, 3, 8, 1, 6],
1: [7, 4, 11],
6: [4, 10, 8, 12, 9],
10: [3, 2, 6, 11],
11: [10, 12, 1]}","Node 13 is connected to nodes 0, 3, 7.
Node 0 is connected to nodes 13, 8, 5.
Node 3 is connected to nodes 13, 4, 10.
Node 7 is connected to nodes 13, 5, 8, 12, 9, 4, 1.
Node 8 is connected to nodes 0, 7, 4, 6.
Node 5 is connected to nodes 0, 7, 2, 9.
Node 2 is connected to nodes 5, 10.
Node 9 is connected to nodes 5, 7, 6.
Node 12 is connected to nodes 7, 11, 6.
Node 4 is connected to nodes 7, 3, 8, 1, 6.
Node 1 is connected to nodes 7, 4, 11.
Node 6 is connected to nodes 4, 10, 8, 12, 9.
Node 10 is connected to nodes 3, 2, 6, 11.
Node 11 is connected to nodes 10, 12, 1.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",14,26,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[2, 5, 9, 7, 1, 4, 3, 13, 0, 8, 6, 12, 11, 10]",3
hamiltonian_path,"[(4, 5), (4, 11), (4, 6), (4, 8), (4, 14), (5, 9), (5, 13), (5, 10), (11, 14), (11, 10), (6, 14), (6, 13), (6, 0), (8, 9), (8, 3), (8, 12), (14, 9), (14, 3), (14, 1), (14, 7), (10, 2), (10, 0), (1, 2), (1, 12), (7, 2), (0, 12)]","{4: [5, 11, 6, 8, 14],
5: [4, 9, 13, 10],
11: [4, 14, 10],
6: [4, 14, 13, 0],
8: [4, 9, 3, 12],
14: [4, 9, 3, 11, 6, 1, 7],
9: [5, 14, 8],
13: [5, 6],
10: [5, 11, 2, 0],
3: [14, 8],
1: [14, 2, 12],
7: [14, 2],
2: [7, 10, 1],
0: [6, 12, 10],
12: [0, 1, 8]}","Node 4 is connected to nodes 5, 11, 6, 8, 14.
Node 5 is connected to nodes 4, 9, 13, 10.
Node 11 is connected to nodes 4, 14, 10.
Node 6 is connected to nodes 4, 14, 13, 0.
Node 8 is connected to nodes 4, 9, 3, 12.
Node 14 is connected to nodes 4, 9, 3, 11, 6, 1, 7.
Node 9 is connected to nodes 5, 14, 8.
Node 13 is connected to nodes 5, 6.
Node 10 is connected to nodes 5, 11, 2, 0.
Node 3 is connected to nodes 14, 8.
Node 1 is connected to nodes 14, 2, 12.
Node 7 is connected to nodes 14, 2.
Node 2 is connected to nodes 7, 10, 1.
Node 0 is connected to nodes 6, 12, 10.
Node 12 is connected to nodes 0, 1, 8.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",15,26,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[9, 14, 3, 8, 4, 11, 10, 5, 13, 6, 0, 12, 1, 2, 7]",4
hamiltonian_path,"[(7, 4), (7, 6), (7, 9), (4, 3), (6, 10), (6, 5), (6, 9), (6, 13), (9, 0), (3, 11), (10, 5), (10, 11), (5, 8), (8, 0), (8, 2), (0, 12), (12, 2), (2, 1)]","{7: [4, 6, 9],
4: [7, 3],
6: [7, 10, 5, 9, 13],
9: [7, 0, 6],
3: [4, 11],
10: [5, 6, 11],
5: [10, 6, 8],
11: [10, 3],
8: [5, 0, 2],
0: [12, 9, 8],
12: [0, 2],
2: [12, 1, 8],
13: [6],
1: [2]}","Node 7 is connected to nodes 4, 6, 9.
Node 4 is connected to nodes 7, 3.
Node 6 is connected to nodes 7, 10, 5, 9, 13.
Node 9 is connected to nodes 7, 0, 6.
Node 3 is connected to nodes 4, 11.
Node 10 is connected to nodes 5, 6, 11.
Node 5 is connected to nodes 10, 6, 8.
Node 11 is connected to nodes 10, 3.
Node 8 is connected to nodes 5, 0, 2.
Node 0 is connected to nodes 12, 9, 8.
Node 12 is connected to nodes 0, 2.
Node 2 is connected to nodes 12, 1, 8.
Node 13 is connected to node 6.
Node 1 is connected to node 2.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",14,18,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[13, 6, 9, 7, 4, 3, 11, 10, 5, 8, 0, 12, 2, 1]",5
hamiltonian_path,"[(5, 8), (5, 7), (5, 3), (8, 6), (7, 4), (7, 0), (3, 2), (3, 1), (3, 0), (6, 7), (6, 1), (6, 5), (1, 4), (4, 7), (4, 0), (4, 6), (0, 8), (0, 7), (2, 7), (2, 6)]","{5: [8, 7, 3],
8: [6],
7: [4, 0],
3: [2, 1, 0],
6: [7, 1, 5],
1: [4],
4: [7, 0, 6],
0: [8, 7],
2: [7, 6]}","Node 5 is connected to nodes 8, 7, 3.
Node 8 is connected to node 6.
Node 7 is connected to nodes 4, 0.
Node 3 is connected to nodes 2, 1, 0.
Node 6 is connected to nodes 7, 1, 5.
Node 1 is connected to node 4.
Node 4 is connected to nodes 7, 0, 6.
Node 0 is connected to nodes 8, 7.
Node 2 is connected to nodes 7, 6.","[0, 1, 2, 3, 4, 5, 6, 7, 8]",9,20,True,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[1, 4, 0, 8, 6, 5, 3, 2, 7]",6
hamiltonian_path,"[(8, 2), (8, 0), (8, 13), (8, 7), (2, 9), (2, 3), (2, 6), (2, 10), (2, 12), (2, 4), (2, 5), (2, 11), (2, 1), (0, 12), (0, 3), (0, 7), (13, 0), (13, 12), (13, 2), (13, 7), (13, 11), (13, 8), (7, 1), (7, 6), (7, 13), (7, 8), (7, 3), (7, 11), (7, 5), (9, 11), (9, 5), (9, 4), (9, 6), (3, 7), (3, 13), (3, 0), (3, 12), (3, 9), (6, 9), (6, 8), (10, 1), (10, 7), (10, 3), (12, 1), (12, 2), (12, 6), (12, 9), (4, 10), (4, 9), (4, 2), (5, 4), (5, 6), (5, 1), (5, 7), (5, 11), (5, 3), (5, 8), (5, 0), (5, 10), (5, 12), (11, 4), (11, 12), (11, 13), (1, 3), (1, 2), (1, 12), (1, 4)]","{8: [2, 0, 13, 7],
2: [9, 3, 6, 10, 12, 4, 5, 11, 1],
0: [12, 3, 7],
13: [0, 12, 2, 7, 11, 8],
7: [1, 6, 13, 8, 3, 11, 5],
9: [11, 5, 4, 6],
3: [7, 13, 0, 12, 9],
6: [9, 8],
10: [1, 7, 3],
12: [1, 2, 6, 9],
4: [10, 9, 2],
5: [4, 6, 1, 7, 11, 3, 8, 0, 10, 12],
11: [4, 12, 13],
1: [3, 2, 12, 4]}","Node 8 is connected to nodes 2, 0, 13, 7.
Node 2 is connected to nodes 9, 3, 6, 10, 12, 4, 5, 11, 1.
Node 0 is connected to nodes 12, 3, 7.
Node 13 is connected to nodes 0, 12, 2, 7, 11, 8.
Node 7 is connected to nodes 1, 6, 13, 8, 3, 11, 5.
Node 9 is connected to nodes 11, 5, 4, 6.
Node 3 is connected to nodes 7, 13, 0, 12, 9.
Node 6 is connected to nodes 9, 8.
Node 10 is connected to nodes 1, 7, 3.
Node 12 is connected to nodes 1, 2, 6, 9.
Node 4 is connected to nodes 10, 9, 2.
Node 5 is connected to nodes 4, 6, 1, 7, 11, 3, 8, 0, 10, 12.
Node 11 is connected to nodes 4, 12, 13.
Node 1 is connected to nodes 3, 2, 12, 4.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",14,67,True,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[11, 4, 2, 10, 1, 3, 9, 5, 0, 7, 8, 13, 12, 6]",7
hamiltonian_path,"[(4, 2), (4, 6), (4, 3), (4, 8), (2, 6), (2, 1), (2, 5), (6, 8), (6, 3), (6, 1), (3, 7), (3, 1), (8, 7), (1, 0), (5, 7), (5, 0), (7, 0)]","{4: [2, 6, 3, 8],
2: [4, 6, 1, 5],
6: [4, 2, 8, 3, 1],
3: [4, 7, 6, 1],
8: [4, 7, 6],
1: [2, 6, 3, 0],
5: [2, 7, 0],
7: [8, 3, 5, 0],
0: [7, 1, 5]}","Node 4 is connected to nodes 2, 6, 3, 8.
Node 2 is connected to nodes 4, 6, 1, 5.
Node 6 is connected to nodes 4, 2, 8, 3, 1.
Node 3 is connected to nodes 4, 7, 6, 1.
Node 8 is connected to nodes 4, 7, 6.
Node 1 is connected to nodes 2, 6, 3, 0.
Node 5 is connected to nodes 2, 7, 0.
Node 7 is connected to nodes 8, 3, 5, 0.
Node 0 is connected to nodes 7, 1, 5.","[0, 1, 2, 3, 4, 5, 6, 7, 8]",9,17,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[7, 3, 4, 8, 6, 1, 0, 5, 2]",8
hamiltonian_path,"[(11, 7), (11, 5), (11, 8), (11, 1), (7, 10), (7, 12), (5, 10), (5, 0), (5, 9), (5, 13), (5, 2), (8, 1), (8, 3), (1, 10), (1, 3), (1, 12), (10, 2), (2, 9), (0, 4), (9, 6), (13, 4), (13, 6)]","{11: [7, 5, 8, 1],
7: [11, 10, 12],
5: [11, 10, 0, 9, 13, 2],
8: [11, 1, 3],
1: [11, 10, 8, 3, 12],
10: [7, 1, 2, 5],
12: [7, 1],
2: [10, 5, 9],
0: [5, 4],
9: [5, 2, 6],
13: [5, 4, 6],
4: [0, 13],
3: [1, 8],
6: [9, 13]}","Node 11 is connected to nodes 7, 5, 8, 1.
Node 7 is connected to nodes 11, 10, 12.
Node 5 is connected to nodes 11, 10, 0, 9, 13, 2.
Node 8 is connected to nodes 11, 1, 3.
Node 1 is connected to nodes 11, 10, 8, 3, 12.
Node 10 is connected to nodes 7, 1, 2, 5.
Node 12 is connected to nodes 7, 1.
Node 2 is connected to nodes 10, 5, 9.
Node 0 is connected to nodes 5, 4.
Node 9 is connected to nodes 5, 2, 6.
Node 13 is connected to nodes 5, 4, 6.
Node 4 is connected to nodes 0, 13.
Node 3 is connected to nodes 1, 8.
Node 6 is connected to nodes 9, 13.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",14,22,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[13, 4, 0, 5, 11, 8, 3, 1, 12, 7, 10, 2, 9, 6]",9
