task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
edge,"[(<1>, <5>), (<1>, <0>), (<5>, <3>), (<0>, <2>), (<0>, <4>), (<3>, <4>)]","{<1>: [<5>, <0>],
<5>: [<1>, <3>],
<0>: [<1>, <2>, <4>],
<3>: [<5>, <4>],
<2>: [<0>],
<4>: [<0>, <3>]}","Node <1> is connected to nodes <5>, <0>.
Node <5> is connected to nodes <1>, <3>.
Node <0> is connected to nodes <1>, <2>, <4>.
Node <3> is connected to nodes <5>, <4>.
Node <2> is connected to node <0>.
Node <4> is connected to nodes <0>, <3>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,6,False,Is there an edge between node <4> and node <2>?,No,"Let's do it step by step.
The neighbors of node <4> are: [<0>, <3>], which does not contain node <2>. So the answer is ","('[Yes, No]',)",1,0
edge,"[(<2>, <3>), (<2>, <1>), (<1>, <4>), (<1>, <0>)]","{<2>: [<3>, <1>],
<3>: [<2>],
<1>: [<2>, <4>, <0>],
<4>: [<1>],
<0>: [<1>]}","Node <2> is connected to nodes <3>, <1>.
Node <3> is connected to node <2>.
Node <1> is connected to nodes <2>, <4>, <0>.
Node <4> is connected to node <1>.
Node <0> is connected to node <1>.","[<0>, <1>, <2>, <3>, <4>]",5,4,False,Is there an edge between node <1> and node <2>?,Yes,"Let's do it step by step.
The neighbors of node <1> are: [<2>, <4>, <0>], which contains node <2>. So the answer is ","('[Yes, No]',)",0,1
edge,"[(<4>, <2>), (<4>, <0>), (<2>, <1>), (<0>, <3>), (<0>, <5>), (<1>, <3>)]","{<4>: [<2>, <0>],
<2>: [<4>, <1>],
<0>: [<4>, <3>, <5>],
<1>: [<2>, <3>],
<3>: [<1>, <0>],
<5>: [<0>]}","Node <4> is connected to nodes <2>, <0>.
Node <2> is connected to nodes <4>, <1>.
Node <0> is connected to nodes <4>, <3>, <5>.
Node <1> is connected to nodes <2>, <3>.
Node <3> is connected to nodes <1>, <0>.
Node <5> is connected to node <0>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,6,False,Is there an edge between node <1> and node <0>?,No,"Let's do it step by step.
The neighbors of node <1> are: [<2>, <3>], which does not contain node <0>. So the answer is ","('[Yes, No]',)",1,2
edge,"[(<3>, <2>), (<3>, <6>), (<3>, <4>), (<2>, <1>), (<6>, <4>), (<1>, <4>), (<1>, <3>), (<1>, <0>), (<5>, <4>), (<5>, <3>), (<0>, <1>)]","{<3>: [<2>, <6>, <4>],
<2>: [<1>],
<6>: [<4>],
<4>: [],
<1>: [<4>, <3>, <0>],
<5>: [<4>, <3>],
<0>: [<1>]}","Node <3> is connected to nodes <2>, <6>, <4>.
Node <2> is connected to node <1>.
Node <6> is connected to node <4>.
Node <1> is connected to nodes <4>, <3>, <0>.
Node <5> is connected to nodes <4>, <3>.
Node <0> is connected to node <1>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,11,True,Is there a directed edge from node <1> to node <4>?,Yes,"Let's do it step by step.
The successors of node <1> are: [<4>, <3>, <0>], which contains node <4>. So the answer is ","('[Yes, No]',)",0,3
edge,"[(<1>, <3>), (<1>, <4>), (<3>, <2>), (<3>, <0>), (<4>, <5>), (<0>, <5>)]","{<1>: [<3>, <4>],
<3>: [<1>, <2>, <0>],
<4>: [<1>, <5>],
<2>: [<3>],
<0>: [<3>, <5>],
<5>: [<4>, <0>]}","Node <1> is connected to nodes <3>, <4>.
Node <3> is connected to nodes <1>, <2>, <0>.
Node <4> is connected to nodes <1>, <5>.
Node <2> is connected to node <3>.
Node <0> is connected to nodes <3>, <5>.
Node <5> is connected to nodes <4>, <0>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,6,False,Is there an edge between node <5> and node <3>?,No,"Let's do it step by step.
The neighbors of node <5> are: [<4>, <0>], which does not contain node <3>. So the answer is ","('[Yes, No]',)",1,4
edge,"[(<3>, <1>), (<3>, <4>), (<1>, <0>), (<4>, <0>), (<4>, <2>)]","{<3>: [<1>, <4>],
<1>: [<3>, <0>],
<4>: [<3>, <0>, <2>],
<0>: [<1>, <4>],
<2>: [<4>]}","Node <3> is connected to nodes <1>, <4>.
Node <1> is connected to nodes <3>, <0>.
Node <4> is connected to nodes <3>, <0>, <2>.
Node <0> is connected to nodes <1>, <4>.
Node <2> is connected to node <4>.","[<0>, <1>, <2>, <3>, <4>]",5,5,False,Is there an edge between node <1> and node <0>?,Yes,"Let's do it step by step.
The neighbors of node <1> are: [<3>, <0>], which contains node <0>. So the answer is ","('[Yes, No]',)",0,5
edge,"[(<2>, <3>), (<2>, <0>), (<2>, <5>), (<3>, <0>), (<3>, <4>), (<3>, <2>), (<0>, <5>), (<0>, <2>), (<5>, <4>), (<1>, <0>), (<1>, <5>), (<1>, <2>), (<1>, <3>)]","{<2>: [<3>, <0>, <5>],
<3>: [<0>, <4>, <2>],
<0>: [<5>, <2>],
<5>: [<4>],
<4>: [],
<1>: [<0>, <5>, <2>, <3>]}","Node <2> is connected to nodes <3>, <0>, <5>.
Node <3> is connected to nodes <0>, <4>, <2>.
Node <0> is connected to nodes <5>, <2>.
Node <5> is connected to node <4>.
Node <1> is connected to nodes <0>, <5>, <2>, <3>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,13,True,Is there a directed edge from node <0> to node <3>?,No,"Let's do it step by step.
The successors of node <0> are: [<5>, <2>], which does not contain node <3>. So the answer is ","('[Yes, No]',)",1,6
edge,"[(<2>, <1>), (<2>, <4>), (<4>, <0>), (<4>, <3>), (<0>, <3>)]","{<2>: [<1>, <4>],
<1>: [<2>],
<4>: [<2>, <0>, <3>],
<0>: [<4>, <3>],
<3>: [<0>, <4>]}","Node <2> is connected to nodes <1>, <4>.
Node <1> is connected to node <2>.
Node <4> is connected to nodes <2>, <0>, <3>.
Node <0> is connected to nodes <4>, <3>.
Node <3> is connected to nodes <0>, <4>.","[<0>, <1>, <2>, <3>, <4>]",5,5,False,Is there an edge between node <4> and node <2>?,Yes,"Let's do it step by step.
The neighbors of node <4> are: [<2>, <0>, <3>], which contains node <2>. So the answer is ","('[Yes, No]',)",0,7
edge,"[(<0>, <3>), (<0>, <4>), (<0>, <2>), (<0>, <1>), (<3>, <4>), (<3>, <2>), (<3>, <0>), (<4>, <0>), (<4>, <3>), (<2>, <1>), (<2>, <0>), (<1>, <0>), (<1>, <2>)]","{<0>: [<3>, <4>, <2>, <1>],
<3>: [<4>, <2>, <0>],
<4>: [<0>, <3>],
<2>: [<1>, <0>],
<1>: [<0>, <2>]}","Node <0> is connected to nodes <3>, <4>, <2>, <1>.
Node <3> is connected to nodes <4>, <2>, <0>.
Node <4> is connected to nodes <0>, <3>.
Node <2> is connected to nodes <1>, <0>.
Node <1> is connected to nodes <0>, <2>.","[<0>, <1>, <2>, <3>, <4>]",5,13,True,Is there a directed edge from node <3> to node <2>?,Yes,"Let's do it step by step.
The successors of node <3> are: [<4>, <2>, <0>], which contains node <2>. So the answer is ","('[Yes, No]',)",0,8
edge,"[(<0>, <1>), (<0>, <2>), (<0>, <4>), (<2>, <3>), (<4>, <3>)]","{<0>: [<1>, <2>, <4>],
<1>: [<0>],
<2>: [<0>, <3>],
<4>: [<0>, <3>],
<3>: [<2>, <4>]}","Node <0> is connected to nodes <1>, <2>, <4>.
Node <1> is connected to node <0>.
Node <2> is connected to nodes <0>, <3>.
Node <4> is connected to nodes <0>, <3>.
Node <3> is connected to nodes <2>, <4>.","[<0>, <1>, <2>, <3>, <4>]",5,5,False,Is there an edge between node <1> and node <0>?,Yes,"Let's do it step by step.
The neighbors of node <1> are: [<0>], which contains node <0>. So the answer is ","('[Yes, No]',)",0,9
