task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,n1,n2,id
bipartite,"[(<0>, <5>), (<0>, <7>), (<0>, <9>), (<1>, <5>), (<1>, <7>), (<1>, <8>), (<2>, <5>), (<2>, <8>), (<3>, <4>), (<3>, <6>), (<3>, <7>), (<3>, <9>)]","{<0>: [<5>, <7>, <9>],
<1>: [<5>, <7>, <8>],
<2>: [<5>, <8>],
<3>: [<4>, <6>, <7>, <9>],
<4>: [<3>],
<5>: [<0>, <1>, <2>],
<6>: [<3>],
<7>: [<0>, <1>, <3>],
<8>: [<1>, <2>],
<9>: [<0>, <3>]}","Node <0> is connected to nodes <5>, <7>, <9>.
Node <1> is connected to nodes <5>, <7>, <8>.
Node <2> is connected to nodes <5>, <8>.
Node <3> is connected to nodes <4>, <6>, <7>, <9>.
Node <4> is connected to node <3>.
Node <5> is connected to nodes <0>, <1>, <2>.
Node <6> is connected to node <3>.
Node <7> is connected to nodes <0>, <1>, <3>.
Node <8> is connected to nodes <1>, <2>.
Node <9> is connected to nodes <0>, <3>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>]",10,12,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: <0> <1> <2> <3>.
Nodes set 2 contains: <4> <5> <6> <7> <8> <9>.","[(<0>, <9>), (<1>, <7>), (<2>, <5>), (<3>, <4>)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node <0>. Updated matching: {<5>: <0>}.
Search from node <1>. Updated matching: {<5>: <1>, <7>: <0>}.
Search from node <2>. Updated matching: {<5>: <2>, <7>: <1>, <9>: <0>}.
Search from node <3>. Updated matching: {<5>: <2>, <7>: <1>, <9>: <0>, <4>: <3>}.
So the maximum matching is ",4,6,0
bipartite,"[(<0>, <5>), (<0>, <7>), (<0>, <9>), (<0>, <11>), (<1>, <6>), (<1>, <7>), (<1>, <11>), (<2>, <5>), (<2>, <7>), (<2>, <9>), (<2>, <10>), (<3>, <8>), (<4>, <6>), (<4>, <8>), (<4>, <11>)]","{<0>: [<5>, <7>, <9>, <11>],
<1>: [<6>, <7>, <11>],
<2>: [<5>, <7>, <9>, <10>],
<3>: [<8>],
<4>: [<6>, <8>, <11>],
<5>: [<0>, <2>],
<6>: [<1>, <4>],
<7>: [<0>, <1>, <2>],
<8>: [<3>, <4>],
<9>: [<0>, <2>],
<10>: [<2>],
<11>: [<0>, <1>, <4>]}","Node <0> is connected to nodes <5>, <7>, <9>, <11>.
Node <1> is connected to nodes <6>, <7>, <11>.
Node <2> is connected to nodes <5>, <7>, <9>, <10>.
Node <3> is connected to node <8>.
Node <4> is connected to nodes <6>, <8>, <11>.
Node <5> is connected to nodes <0>, <2>.
Node <6> is connected to nodes <1>, <4>.
Node <7> is connected to nodes <0>, <1>, <2>.
Node <8> is connected to nodes <3>, <4>.
Node <9> is connected to nodes <0>, <2>.
Node <10> is connected to node <2>.
Node <11> is connected to nodes <0>, <1>, <4>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>, <10>, <11>]",12,15,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: <0> <1> <2> <3> <4>.
Nodes set 2 contains: <5> <6> <7> <8> <9> <10> <11>.","[(<0>, <5>), (<1>, <7>), (<2>, <9>), (<3>, <8>), (<4>, <6>)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node <0>. Updated matching: {<5>: <0>}.
Search from node <1>. Updated matching: {<5>: <0>, <6>: <1>}.
Search from node <2>. Updated matching: {<5>: <2>, <6>: <1>, <7>: <0>}.
Search from node <3>. Updated matching: {<5>: <2>, <6>: <1>, <7>: <0>, <8>: <3>}.
Search from node <4>. Updated matching: {<5>: <0>, <6>: <4>, <7>: <1>, <8>: <3>, <9>: <2>}.
So the maximum matching is ",5,7,1
bipartite,"[(<0>, <3>), (<0>, <4>), (<0>, <6>), (<1>, <3>), (<1>, <5>), (<1>, <6>), (<1>, <7>), (<2>, <3>), (<2>, <5>), (<2>, <6>), (<2>, <7>)]","{<0>: [<3>, <4>, <6>],
<1>: [<3>, <5>, <6>, <7>],
<2>: [<3>, <5>, <6>, <7>],
<3>: [<0>, <1>, <2>],
<4>: [<0>],
<5>: [<1>, <2>],
<6>: [<0>, <1>, <2>],
<7>: [<1>, <2>]}","Node <0> is connected to nodes <3>, <4>, <6>.
Node <1> is connected to nodes <3>, <5>, <6>, <7>.
Node <2> is connected to nodes <3>, <5>, <6>, <7>.
Node <3> is connected to nodes <0>, <1>, <2>.
Node <4> is connected to node <0>.
Node <5> is connected to nodes <1>, <2>.
Node <6> is connected to nodes <0>, <1>, <2>.
Node <7> is connected to nodes <1>, <2>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>]",8,11,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: <0> <1> <2>.
Nodes set 2 contains: <3> <4> <5> <6> <7>.","[(<0>, <4>), (<1>, <5>), (<2>, <3>)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node <0>. Updated matching: {<3>: <0>}.
Search from node <1>. Updated matching: {<3>: <1>, <4>: <0>}.
Search from node <2>. Updated matching: {<3>: <2>, <4>: <0>, <5>: <1>}.
So the maximum matching is ",3,5,2
bipartite,"[(<0>, <9>), (<1>, <7>), (<1>, <10>), (<1>, <11>), (<2>, <6>), (<2>, <7>), (<2>, <12>), (<3>, <7>), (<3>, <9>), (<3>, <11>), (<4>, <8>), (<4>, <10>), (<5>, <9>)]","{<0>: [<9>],
<1>: [<7>, <10>, <11>],
<2>: [<6>, <7>, <12>],
<3>: [<7>, <9>, <11>],
<4>: [<8>, <10>],
<5>: [<9>],
<6>: [<2>],
<7>: [<1>, <2>, <3>],
<8>: [<4>],
<9>: [<0>, <3>, <5>],
<10>: [<1>, <4>],
<11>: [<1>, <3>],
<12>: [<2>]}","Node <0> is connected to node <9>.
Node <1> is connected to nodes <7>, <10>, <11>.
Node <2> is connected to nodes <6>, <7>, <12>.
Node <3> is connected to nodes <7>, <9>, <11>.
Node <4> is connected to nodes <8>, <10>.
Node <5> is connected to node <9>.
Node <6> is connected to node <2>.
Node <7> is connected to nodes <1>, <2>, <3>.
Node <8> is connected to node <4>.
Node <9> is connected to nodes <0>, <3>, <5>.
Node <10> is connected to nodes <1>, <4>.
Node <11> is connected to nodes <1>, <3>.
Node <12> is connected to node <2>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>, <10>, <11>, <12>]",13,13,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: <0> <1> <2> <3> <4> <5>.
Nodes set 2 contains: <6> <7> <8> <9> <10> <11> <12>.","[(<0>, <9>), (<1>, <10>), (<2>, <6>), (<3>, <7>), (<4>, <8>)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node <0>. Updated matching: {<9>: <0>}.
Search from node <1>. Updated matching: {<9>: <0>, <7>: <1>}.
Search from node <2>. Updated matching: {<9>: <0>, <7>: <1>, <6>: <2>}.
Search from node <3>. Updated matching: {<9>: <0>, <7>: <3>, <6>: <2>, <10>: <1>}.
Search from node <4>. Updated matching: {<9>: <0>, <7>: <3>, <6>: <2>, <10>: <1>, <8>: <4>}.
Search from node <5>. Updated matching: {<9>: <0>, <7>: <3>, <6>: <2>, <10>: <1>, <8>: <4>}.
So the maximum matching is ",6,7,3
bipartite,"[(<0>, <6>), (<0>, <7>), (<0>, <8>), (<0>, <9>), (<0>, <11>), (<1>, <7>), (<1>, <9>), (<1>, <10>), (<1>, <13>), (<2>, <9>), (<2>, <12>), (<2>, <13>), (<2>, <14>), (<3>, <6>), (<3>, <9>), (<3>, <11>), (<3>, <13>), (<4>, <5>), (<4>, <6>), (<4>, <9>)]","{<0>: [<6>, <7>, <8>, <9>, <11>],
<1>: [<7>, <9>, <10>, <13>],
<2>: [<9>, <12>, <13>, <14>],
<3>: [<6>, <9>, <11>, <13>],
<4>: [<5>, <6>, <9>],
<5>: [<4>],
<6>: [<0>, <3>, <4>],
<7>: [<0>, <1>],
<8>: [<0>],
<9>: [<0>, <1>, <2>, <3>, <4>],
<10>: [<1>],
<11>: [<0>, <3>],
<12>: [<2>],
<13>: [<1>, <2>, <3>],
<14>: [<2>]}","Node <0> is connected to nodes <6>, <7>, <8>, <9>, <11>.
Node <1> is connected to nodes <7>, <9>, <10>, <13>.
Node <2> is connected to nodes <9>, <12>, <13>, <14>.
Node <3> is connected to nodes <6>, <9>, <11>, <13>.
Node <4> is connected to nodes <5>, <6>, <9>.
Node <5> is connected to node <4>.
Node <6> is connected to nodes <0>, <3>, <4>.
Node <7> is connected to nodes <0>, <1>.
Node <8> is connected to node <0>.
Node <9> is connected to nodes <0>, <1>, <2>, <3>, <4>.
Node <10> is connected to node <1>.
Node <11> is connected to nodes <0>, <3>.
Node <12> is connected to node <2>.
Node <13> is connected to nodes <1>, <2>, <3>.
Node <14> is connected to node <2>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>, <10>, <11>, <12>, <13>, <14>]",15,20,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: <0> <1> <2> <3> <4>.
Nodes set 2 contains: <5> <6> <7> <8> <9> <10> <11> <12> <13> <14>.","[(<0>, <7>), (<1>, <9>), (<2>, <12>), (<3>, <6>), (<4>, <5>)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node <0>. Updated matching: {<6>: <0>}.
Search from node <1>. Updated matching: {<6>: <0>, <7>: <1>}.
Search from node <2>. Updated matching: {<6>: <0>, <7>: <1>, <9>: <2>}.
Search from node <3>. Updated matching: {<6>: <3>, <7>: <0>, <9>: <1>, <12>: <2>}.
Search from node <4>. Updated matching: {<6>: <3>, <7>: <0>, <9>: <1>, <12>: <2>, <5>: <4>}.
So the maximum matching is ",5,10,4
bipartite,"[(<0>, <8>), (<0>, <9>), (<0>, <13>), (<1>, <6>), (<1>, <7>), (<1>, <8>), (<1>, <11>), (<2>, <7>), (<2>, <10>), (<2>, <12>), (<3>, <5>), (<3>, <10>), (<4>, <6>), (<4>, <12>), (<4>, <13>)]","{<0>: [<8>, <9>, <13>],
<1>: [<6>, <7>, <8>, <11>],
<2>: [<7>, <10>, <12>],
<3>: [<5>, <10>],
<4>: [<6>, <12>, <13>],
<5>: [<3>],
<6>: [<1>, <4>],
<7>: [<1>, <2>],
<8>: [<0>, <1>],
<9>: [<0>],
<10>: [<2>, <3>],
<11>: [<1>],
<12>: [<2>, <4>],
<13>: [<0>, <4>]}","Node <0> is connected to nodes <8>, <9>, <13>.
Node <1> is connected to nodes <6>, <7>, <8>, <11>.
Node <2> is connected to nodes <7>, <10>, <12>.
Node <3> is connected to nodes <5>, <10>.
Node <4> is connected to nodes <6>, <12>, <13>.
Node <5> is connected to node <3>.
Node <6> is connected to nodes <1>, <4>.
Node <7> is connected to nodes <1>, <2>.
Node <8> is connected to nodes <0>, <1>.
Node <9> is connected to node <0>.
Node <10> is connected to nodes <2>, <3>.
Node <11> is connected to node <1>.
Node <12> is connected to nodes <2>, <4>.
Node <13> is connected to nodes <0>, <4>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>, <10>, <11>, <12>, <13>]",14,15,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: <0> <1> <2> <3> <4>.
Nodes set 2 contains: <5> <6> <7> <8> <9> <10> <11> <12> <13>.","[(<0>, <8>), (<1>, <7>), (<2>, <10>), (<3>, <5>), (<4>, <6>)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node <0>. Updated matching: {<8>: <0>}.
Search from node <1>. Updated matching: {<8>: <0>, <6>: <1>}.
Search from node <2>. Updated matching: {<8>: <0>, <6>: <1>, <7>: <2>}.
Search from node <3>. Updated matching: {<8>: <0>, <6>: <1>, <7>: <2>, <5>: <3>}.
Search from node <4>. Updated matching: {<8>: <0>, <6>: <4>, <7>: <1>, <5>: <3>, <10>: <2>}.
So the maximum matching is ",5,9,5
bipartite,"[(<0>, <4>), (<0>, <6>), (<1>, <4>), (<1>, <5>), (<1>, <7>), (<1>, <8>), (<2>, <3>), (<2>, <4>), (<2>, <8>)]","{<0>: [<4>, <6>],
<1>: [<4>, <5>, <7>, <8>],
<2>: [<3>, <4>, <8>],
<3>: [<2>],
<4>: [<0>, <1>, <2>],
<5>: [<1>],
<6>: [<0>],
<7>: [<1>],
<8>: [<1>, <2>]}","Node <0> is connected to nodes <4>, <6>.
Node <1> is connected to nodes <4>, <5>, <7>, <8>.
Node <2> is connected to nodes <3>, <4>, <8>.
Node <3> is connected to node <2>.
Node <4> is connected to nodes <0>, <1>, <2>.
Node <5> is connected to node <1>.
Node <6> is connected to node <0>.
Node <7> is connected to node <1>.
Node <8> is connected to nodes <1>, <2>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>]",9,9,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: <0> <1> <2>.
Nodes set 2 contains: <3> <4> <5> <6> <7> <8>.","[(<0>, <6>), (<1>, <4>), (<2>, <3>)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node <0>. Updated matching: {<4>: <0>}.
Search from node <1>. Updated matching: {<4>: <1>, <6>: <0>}.
Search from node <2>. Updated matching: {<4>: <1>, <6>: <0>, <3>: <2>}.
So the maximum matching is ",3,6,6
bipartite,"[(<0>, <4>), (<0>, <6>), (<0>, <8>), (<1>, <6>), (<1>, <7>), (<1>, <8>), (<2>, <5>), (<2>, <6>), (<2>, <8>), (<3>, <7>)]","{<0>: [<4>, <6>, <8>],
<1>: [<6>, <7>, <8>],
<2>: [<5>, <6>, <8>],
<3>: [<7>],
<4>: [<0>],
<5>: [<2>],
<6>: [<0>, <1>, <2>],
<7>: [<1>, <3>],
<8>: [<0>, <1>, <2>]}","Node <0> is connected to nodes <4>, <6>, <8>.
Node <1> is connected to nodes <6>, <7>, <8>.
Node <2> is connected to nodes <5>, <6>, <8>.
Node <3> is connected to node <7>.
Node <4> is connected to node <0>.
Node <5> is connected to node <2>.
Node <6> is connected to nodes <0>, <1>, <2>.
Node <7> is connected to nodes <1>, <3>.
Node <8> is connected to nodes <0>, <1>, <2>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>]",9,10,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: <0> <1> <2> <3>.
Nodes set 2 contains: <4> <5> <6> <7> <8>.","[(<0>, <4>), (<1>, <6>), (<2>, <5>), (<3>, <7>)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node <0>. Updated matching: {<4>: <0>}.
Search from node <1>. Updated matching: {<4>: <0>, <6>: <1>}.
Search from node <2>. Updated matching: {<4>: <0>, <6>: <1>, <5>: <2>}.
Search from node <3>. Updated matching: {<4>: <0>, <6>: <1>, <5>: <2>, <7>: <3>}.
So the maximum matching is ",4,5,7
bipartite,"[(<0>, <8>), (<0>, <10>), (<0>, <12>), (<0>, <13>), (<1>, <9>), (<2>, <5>), (<2>, <8>), (<2>, <13>), (<3>, <7>), (<3>, <11>), (<3>, <12>), (<3>, <14>), (<4>, <5>), (<4>, <6>), (<4>, <9>), (<4>, <12>)]","{<0>: [<8>, <10>, <12>, <13>],
<1>: [<9>],
<2>: [<5>, <8>, <13>],
<3>: [<7>, <11>, <12>, <14>],
<4>: [<5>, <6>, <9>, <12>],
<5>: [<2>, <4>],
<6>: [<4>],
<7>: [<3>],
<8>: [<0>, <2>],
<9>: [<1>, <4>],
<10>: [<0>],
<11>: [<3>],
<12>: [<0>, <3>, <4>],
<13>: [<0>, <2>],
<14>: [<3>]}","Node <0> is connected to nodes <8>, <10>, <12>, <13>.
Node <1> is connected to node <9>.
Node <2> is connected to nodes <5>, <8>, <13>.
Node <3> is connected to nodes <7>, <11>, <12>, <14>.
Node <4> is connected to nodes <5>, <6>, <9>, <12>.
Node <5> is connected to nodes <2>, <4>.
Node <6> is connected to node <4>.
Node <7> is connected to node <3>.
Node <8> is connected to nodes <0>, <2>.
Node <9> is connected to nodes <1>, <4>.
Node <10> is connected to node <0>.
Node <11> is connected to node <3>.
Node <12> is connected to nodes <0>, <3>, <4>.
Node <13> is connected to nodes <0>, <2>.
Node <14> is connected to node <3>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>, <10>, <11>, <12>, <13>, <14>]",15,16,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: <0> <1> <2> <3> <4>.
Nodes set 2 contains: <5> <6> <7> <8> <9> <10> <11> <12> <13> <14>.","[(<0>, <10>), (<1>, <9>), (<2>, <8>), (<3>, <7>), (<4>, <5>)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node <0>. Updated matching: {<8>: <0>}.
Search from node <1>. Updated matching: {<8>: <0>, <9>: <1>}.
Search from node <2>. Updated matching: {<8>: <0>, <9>: <1>, <5>: <2>}.
Search from node <3>. Updated matching: {<8>: <0>, <9>: <1>, <5>: <2>, <7>: <3>}.
Search from node <4>. Updated matching: {<8>: <2>, <9>: <1>, <5>: <4>, <7>: <3>, <10>: <0>}.
So the maximum matching is ",5,10,8
bipartite,"[(<0>, <4>), (<0>, <7>), (<0>, <8>), (<0>, <10>), (<1>, <7>), (<1>, <8>), (<1>, <9>), (<2>, <6>), (<2>, <8>), (<3>, <4>), (<3>, <5>), (<3>, <6>), (<3>, <8>)]","{<0>: [<4>, <7>, <8>, <10>],
<1>: [<7>, <8>, <9>],
<2>: [<6>, <8>],
<3>: [<4>, <5>, <6>, <8>],
<4>: [<0>, <3>],
<5>: [<3>],
<6>: [<2>, <3>],
<7>: [<0>, <1>],
<8>: [<0>, <1>, <2>, <3>],
<9>: [<1>],
<10>: [<0>]}","Node <0> is connected to nodes <4>, <7>, <8>, <10>.
Node <1> is connected to nodes <7>, <8>, <9>.
Node <2> is connected to nodes <6>, <8>.
Node <3> is connected to nodes <4>, <5>, <6>, <8>.
Node <4> is connected to nodes <0>, <3>.
Node <5> is connected to node <3>.
Node <6> is connected to nodes <2>, <3>.
Node <7> is connected to nodes <0>, <1>.
Node <8> is connected to nodes <0>, <1>, <2>, <3>.
Node <9> is connected to node <1>.
Node <10> is connected to node <0>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>, <7>, <8>, <9>, <10>]",11,13,False,"Find a maximum matching in the bipartite graph.
Nodes set 1 contains: <0> <1> <2> <3>.
Nodes set 2 contains: <4> <5> <6> <7> <8> <9> <10>.","[(<0>, <7>), (<1>, <8>), (<2>, <6>), (<3>, <4>)]","To find a maximum matching in the bipartite graph, let's run the Hungarian algorithm step by step.
Firstly, initialize an empty matching {}.
Iterate over nodes in set 1:
Search from node <0>. Updated matching: {<4>: <0>}.
Search from node <1>. Updated matching: {<4>: <0>, <7>: <1>}.
Search from node <2>. Updated matching: {<4>: <0>, <7>: <1>, <6>: <2>}.
Search from node <3>. Updated matching: {<4>: <3>, <7>: <0>, <6>: <2>, <8>: <1>}.
So the maximum matching is ",4,7,9
