task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
degree,"[(2, 3), (2, 0), (2, 1), (2, 4), (3, 0), (3, 5), (3, 4), (0, 5), (0, 1), (0, 4), (1, 5), (1, 4), (4, 5)]","{2: [3, 0, 1, 4],
3: [2, 0, 5, 4],
0: [2, 3, 5, 1, 4],
1: [2, 0, 5, 4],
4: [2, 3, 0, 5, 1],
5: [3, 0, 1, 4]}","Node 2 is connected to nodes 3, 0, 1, 4.
Node 3 is connected to nodes 2, 0, 5, 4.
Node 0 is connected to nodes 2, 3, 5, 1, 4.
Node 1 is connected to nodes 2, 0, 5, 4.
Node 4 is connected to nodes 2, 3, 0, 5, 1.
Node 5 is connected to nodes 3, 0, 1, 4.","[0, 1, 2, 3, 4, 5]",6,13,False,What is the degree of node 4?,5,"Let's solve this problem step by step.
The neighbors of node 4 are: [2, 3, 0, 5, 1], and there are 5 neighbor nodes.
So the degree of node 4 is ","('[5, 0, 6, 4]',)",0,0
degree,"[(0, 4), (0, 1), (0, 3), (0, 2)]","{0: [4, 1, 3, 2],
4: [0],
1: [0],
3: [0],
2: [0]}","Node 0 is connected to nodes 4, 1, 3, 2.
Node 4 is connected to node 0.
Node 1 is connected to node 0.
Node 3 is connected to node 0.
Node 2 is connected to node 0.","[0, 1, 2, 3, 4]",5,4,False,What is the degree of node 1?,1,"Let's solve this problem step by step.
The neighbors of node 1 are: [0], and there are 1 neighbor nodes.
So the degree of node 1 is ","('[2, 1, 0, 8]',)",1,1
degree,"[(2, 1), (2, 5), (2, 3), (1, 5), (1, 3), (1, 0), (5, 3), (5, 4), (5, 0), (3, 4), (3, 0), (0, 4)]","{2: [1, 5, 3],
1: [2, 5, 3, 0],
5: [2, 1, 3, 4, 0],
3: [2, 1, 5, 4, 0],
0: [1, 5, 3, 4],
4: [5, 3, 0]}","Node 2 is connected to nodes 1, 5, 3.
Node 1 is connected to nodes 2, 5, 3, 0.
Node 5 is connected to nodes 2, 1, 3, 4, 0.
Node 3 is connected to nodes 2, 1, 5, 4, 0.
Node 0 is connected to nodes 1, 5, 3, 4.
Node 4 is connected to nodes 5, 3, 0.","[0, 1, 2, 3, 4, 5]",6,12,False,What is the degree of node 1?,4,"Let's solve this problem step by step.
The neighbors of node 1 are: [2, 5, 3, 0], and there are 4 neighbor nodes.
So the degree of node 1 is ","('[4, 8, 0, 10]',)",0,2
degree,"[(3, 1), (3, 0), (1, 4), (0, 2), (0, 4)]","{3: [1, 0],
1: [3, 4],
0: [3, 2, 4],
4: [1, 0],
2: [0]}","Node 3 is connected to nodes 1, 0.
Node 1 is connected to nodes 3, 4.
Node 0 is connected to nodes 3, 2, 4.
Node 4 is connected to nodes 1, 0.
Node 2 is connected to node 0.","[0, 1, 2, 3, 4]",5,5,False,What is the degree of node 2?,1,"Let's solve this problem step by step.
The neighbors of node 2 are: [0], and there are 1 neighbor nodes.
So the degree of node 2 is ","('[1, 3, 0, 4]',)",0,3
degree,"[(0, 1), (0, 5), (0, 4), (0, 6), (1, 3), (1, 2), (1, 5), (1, 4), (4, 2), (4, 3)]","{0: [1, 5, 4, 6],
1: [0, 3, 2, 5, 4],
5: [0, 1],
4: [0, 1, 2, 3],
6: [0],
3: [1, 4],
2: [1, 4]}","Node 0 is connected to nodes 1, 5, 4, 6.
Node 1 is connected to nodes 0, 3, 2, 5, 4.
Node 5 is connected to nodes 0, 1.
Node 4 is connected to nodes 0, 1, 2, 3.
Node 6 is connected to node 0.
Node 3 is connected to nodes 1, 4.
Node 2 is connected to nodes 1, 4.","[0, 1, 2, 3, 4, 5, 6]",7,10,False,What is the degree of node 0?,4,"Let's solve this problem step by step.
The neighbors of node 0 are: [1, 5, 4, 6], and there are 4 neighbor nodes.
So the degree of node 0 is ","('[1, 0, 4, 9]',)",2,4
degree,"[(0, 3), (0, 2), (0, 5), (3, 4), (3, 2), (3, 1), (3, 5), (2, 4), (2, 1), (2, 5), (5, 4), (5, 1), (4, 1)]","{0: [3, 2, 5],
3: [0, 4, 2, 1, 5],
2: [0, 3, 4, 1, 5],
5: [0, 3, 4, 2, 1],
4: [3, 2, 1, 5],
1: [3, 4, 2, 5]}","Node 0 is connected to nodes 3, 2, 5.
Node 3 is connected to nodes 0, 4, 2, 1, 5.
Node 2 is connected to nodes 0, 3, 4, 1, 5.
Node 5 is connected to nodes 0, 3, 4, 2, 1.
Node 4 is connected to nodes 3, 2, 1, 5.
Node 1 is connected to nodes 3, 4, 2, 5.","[0, 1, 2, 3, 4, 5]",6,13,False,What is the degree of node 3?,5,"Let's solve this problem step by step.
The neighbors of node 3 are: [0, 4, 2, 1, 5], and there are 5 neighbor nodes.
So the degree of node 3 is ","('[5, 0, 6, 3]',)",0,5
degree,"[(3, 5), (3, 0), (5, 3), (0, 1), (0, 2), (2, 4), (2, 3), (2, 5), (4, 1), (1, 3), (1, 5), (1, 4)]","{3: [5, 0],
5: [3],
0: [1, 2],
2: [4, 3, 5],
4: [1],
1: [3, 5, 4]}","Node 3 is connected to nodes 5, 0.
Node 5 is connected to node 3.
Node 0 is connected to nodes 1, 2.
Node 2 is connected to nodes 4, 3, 5.
Node 4 is connected to node 1.
Node 1 is connected to nodes 3, 5, 4.","[0, 1, 2, 3, 4, 5]",6,12,True,What is the out-degree of node 4?,1,"Let's solve this problem step by step.
The successors of node 4 are: [1], and there are 1 successor nodes.
So the degree of node 4 is ","('[4, 0, 10, 1]',)",3,6
degree,"[(1, 2), (1, 0), (1, 5), (2, 3), (0, 5), (3, 4)]","{1: [2, 0, 5],
2: [1, 3],
0: [1, 5],
5: [1, 0],
3: [2, 4],
4: [3]}","Node 1 is connected to nodes 2, 0, 5.
Node 2 is connected to nodes 1, 3.
Node 0 is connected to nodes 1, 5.
Node 5 is connected to nodes 1, 0.
Node 3 is connected to nodes 2, 4.
Node 4 is connected to node 3.","[0, 1, 2, 3, 4, 5]",6,6,False,What is the degree of node 0?,2,"Let's solve this problem step by step.
The neighbors of node 0 are: [1, 5], and there are 2 neighbor nodes.
So the degree of node 0 is ","('[3, 0, 10, 2]',)",3,7
degree,"[(3, 2), (3, 1), (1, 4), (1, 0)]","{3: [2, 1],
2: [3],
1: [3, 4, 0],
4: [1],
0: [1]}","Node 3 is connected to nodes 2, 1.
Node 2 is connected to node 3.
Node 1 is connected to nodes 3, 4, 0.
Node 4 is connected to node 1.
Node 0 is connected to node 1.","[0, 1, 2, 3, 4]",5,4,False,What is the degree of node 2?,1,"Let's solve this problem step by step.
The neighbors of node 2 are: [3], and there are 1 neighbor nodes.
So the degree of node 2 is ","('[0, 2, 1, 7]',)",2,8
degree,"[(0, 1), (1, 3), (1, 5), (3, 2), (5, 1), (5, 2), (5, 3), (4, 5), (4, 0), (2, 3), (2, 4)]","{0: [1],
1: [3, 5],
3: [2],
5: [1, 2, 3],
4: [5, 0],
2: [3, 4]}","Node 0 is connected to node 1.
Node 1 is connected to nodes 3, 5.
Node 3 is connected to node 2.
Node 5 is connected to nodes 1, 2, 3.
Node 4 is connected to nodes 5, 0.
Node 2 is connected to nodes 3, 4.","[0, 1, 2, 3, 4, 5]",6,11,True,What is the out-degree of node 0?,1,"Let's solve this problem step by step.
The successors of node 0 are: [1], and there are 1 successor nodes.
So the degree of node 0 is ","('[10, 0, 9, 1]',)",3,9
degree,"[(1, 5), (1, 2), (1, 4), (5, 0), (5, 3), (5, 6), (5, 4), (2, 0), (2, 6), (2, 4), (4, 3), (4, 6), (0, 3), (0, 6), (3, 6)]","{1: [5, 2, 4],
5: [1, 0, 3, 6, 4],
2: [1, 0, 6, 4],
4: [1, 5, 3, 6, 2],
0: [5, 3, 6, 2],
3: [5, 0, 6, 4],
6: [5, 0, 3, 2, 4]}","Node 1 is connected to nodes 5, 2, 4.
Node 5 is connected to nodes 1, 0, 3, 6, 4.
Node 2 is connected to nodes 1, 0, 6, 4.
Node 4 is connected to nodes 1, 5, 3, 6, 2.
Node 0 is connected to nodes 5, 3, 6, 2.
Node 3 is connected to nodes 5, 0, 6, 4.
Node 6 is connected to nodes 5, 0, 3, 2, 4.","[0, 1, 2, 3, 4, 5, 6]",7,15,False,What is the degree of node 5?,5,"Let's solve this problem step by step.
The neighbors of node 5 are: [1, 0, 3, 6, 4], and there are 5 neighbor nodes.
So the degree of node 5 is ","('[5, 3, 7, 0]',)",0,10
degree,"[(4, 3), (3, 0), (3, 1), (0, 2), (0, 4), (0, 3), (1, 4), (1, 2), (2, 1), (2, 4), (2, 3), (2, 0)]","{4: [3],
3: [0, 1],
0: [2, 4, 3],
1: [4, 2],
2: [1, 4, 3, 0]}","Node 4 is connected to node 3.
Node 3 is connected to nodes 0, 1.
Node 0 is connected to nodes 2, 4, 3.
Node 1 is connected to nodes 4, 2.
Node 2 is connected to nodes 1, 4, 3, 0.","[0, 1, 2, 3, 4]",5,12,True,What is the out-degree of node 0?,3,"Let's solve this problem step by step.
The successors of node 0 are: [2, 4, 3], and there are 3 successor nodes.
So the degree of node 0 is ","('[1, 3, 8, 0]',)",1,11
degree,"[(3, 0), (3, 4), (3, 5), (3, 1), (0, 3), (4, 2), (4, 1), (5, 3), (5, 0), (1, 2), (2, 3), (2, 4)]","{3: [0, 4, 5, 1],
0: [3],
4: [2, 1],
5: [3, 0],
1: [2],
2: [3, 4]}","Node 3 is connected to nodes 0, 4, 5, 1.
Node 0 is connected to node 3.
Node 4 is connected to nodes 2, 1.
Node 5 is connected to nodes 3, 0.
Node 1 is connected to node 2.
Node 2 is connected to nodes 3, 4.","[0, 1, 2, 3, 4, 5]",6,12,True,What is the out-degree of node 0?,1,"Let's solve this problem step by step.
The successors of node 0 are: [3], and there are 1 successor nodes.
So the degree of node 0 is ","('[10, 4, 0, 1]',)",3,12
degree,"[(0, 6), (0, 5), (0, 2), (0, 4), (5, 1), (4, 3)]","{0: [6, 5, 2, 4],
6: [0],
5: [0, 1],
2: [0],
4: [0, 3],
1: [5],
3: [4]}","Node 0 is connected to nodes 6, 5, 2, 4.
Node 6 is connected to node 0.
Node 5 is connected to nodes 0, 1.
Node 2 is connected to node 0.
Node 4 is connected to nodes 0, 3.
Node 1 is connected to node 5.
Node 3 is connected to node 4.","[0, 1, 2, 3, 4, 5, 6]",7,6,False,What is the degree of node 4?,2,"Let's solve this problem step by step.
The neighbors of node 4 are: [0, 3], and there are 2 neighbor nodes.
So the degree of node 4 is ","('[2, 0, 6, 3]',)",0,13
degree,"[(2, 4), (4, 1), (4, 3), (1, 3), (3, 0), (0, 5), (0, 4), (0, 6), (0, 2), (5, 1), (6, 3)]","{2: [4],
4: [1, 3],
1: [3],
3: [0],
0: [5, 4, 6, 2],
5: [1],
6: [3]}","Node 2 is connected to node 4.
Node 4 is connected to nodes 1, 3.
Node 1 is connected to node 3.
Node 3 is connected to node 0.
Node 0 is connected to nodes 5, 4, 6, 2.
Node 5 is connected to node 1.
Node 6 is connected to node 3.","[0, 1, 2, 3, 4, 5, 6]",7,11,True,What is the out-degree of node 0?,4,"Let's solve this problem step by step.
The successors of node 0 are: [5, 4, 6, 2], and there are 4 successor nodes.
So the degree of node 0 is ","('[0, 4, 8, 1]',)",1,14
degree,"[(0, 1), (0, 4), (0, 3), (1, 4), (1, 0), (4, 3), (4, 2), (3, 2), (3, 0), (3, 1), (3, 4), (2, 0), (2, 1), (2, 4)]","{0: [1, 4, 3],
1: [4, 0],
4: [3, 2],
3: [2, 0, 1, 4],
2: [0, 1, 4]}","Node 0 is connected to nodes 1, 4, 3.
Node 1 is connected to nodes 4, 0.
Node 4 is connected to nodes 3, 2.
Node 3 is connected to nodes 2, 0, 1, 4.
Node 2 is connected to nodes 0, 1, 4.","[0, 1, 2, 3, 4]",5,14,True,What is the out-degree of node 3?,4,"Let's solve this problem step by step.
The successors of node 3 are: [2, 0, 1, 4], and there are 4 successor nodes.
So the degree of node 3 is ","('[0, 8, 4, 5]',)",2,15
degree,"[(3, 4), (3, 1), (4, 5), (4, 2), (4, 0), (4, 1), (1, 5), (1, 2), (1, 0), (5, 2), (5, 0), (2, 0)]","{3: [4, 1],
4: [3, 5, 2, 0, 1],
1: [3, 4, 5, 2, 0],
5: [4, 2, 0, 1],
2: [4, 5, 0, 1],
0: [4, 5, 2, 1]}","Node 3 is connected to nodes 4, 1.
Node 4 is connected to nodes 3, 5, 2, 0, 1.
Node 1 is connected to nodes 3, 4, 5, 2, 0.
Node 5 is connected to nodes 4, 2, 0, 1.
Node 2 is connected to nodes 4, 5, 0, 1.
Node 0 is connected to nodes 4, 5, 2, 1.","[0, 1, 2, 3, 4, 5]",6,12,False,What is the degree of node 3?,2,"Let's solve this problem step by step.
The neighbors of node 3 are: [4, 1], and there are 2 neighbor nodes.
So the degree of node 3 is ","('[6, 2, 1, 0]',)",1,16
degree,"[(3, 2), (3, 5), (2, 1), (2, 6), (2, 0), (1, 4)]","{3: [2, 5],
2: [3, 1, 6, 0],
5: [3],
1: [2, 4],
6: [2],
0: [2],
4: [1]}","Node 3 is connected to nodes 2, 5.
Node 2 is connected to nodes 3, 1, 6, 0.
Node 5 is connected to node 3.
Node 1 is connected to nodes 2, 4.
Node 6 is connected to node 2.
Node 0 is connected to node 2.
Node 4 is connected to node 1.","[0, 1, 2, 3, 4, 5, 6]",7,6,False,What is the degree of node 1?,2,"Let's solve this problem step by step.
The neighbors of node 1 are: [2, 4], and there are 2 neighbor nodes.
So the degree of node 1 is ","('[1, 2, 6, 0]',)",1,17
degree,"[(0, 5), (0, 3), (0, 2), (0, 4), (0, 6), (5, 2), (5, 4), (5, 6), (3, 4), (3, 0), (2, 6), (2, 0), (2, 5), (4, 5), (4, 2), (6, 0), (6, 3), (6, 4), (6, 1), (1, 6), (1, 5), (1, 3), (1, 2)]","{0: [5, 3, 2, 4, 6],
5: [2, 4, 6],
3: [4, 0],
2: [6, 0, 5],
4: [5, 2],
6: [0, 3, 4, 1],
1: [6, 5, 3, 2]}","Node 0 is connected to nodes 5, 3, 2, 4, 6.
Node 5 is connected to nodes 2, 4, 6.
Node 3 is connected to nodes 4, 0.
Node 2 is connected to nodes 6, 0, 5.
Node 4 is connected to nodes 5, 2.
Node 6 is connected to nodes 0, 3, 4, 1.
Node 1 is connected to nodes 6, 5, 3, 2.","[0, 1, 2, 3, 4, 5, 6]",7,23,True,What is the out-degree of node 5?,3,"Let's solve this problem step by step.
The successors of node 5 are: [2, 4, 6], and there are 3 successor nodes.
So the degree of node 5 is ","('[1, 7, 3, 0]',)",2,18
degree,"[(3, 5), (3, 2), (3, 1), (5, 4), (2, 0)]","{3: [5, 2, 1],
5: [3, 4],
2: [3, 0],
1: [3],
4: [5],
0: [2]}","Node 3 is connected to nodes 5, 2, 1.
Node 5 is connected to nodes 3, 4.
Node 2 is connected to nodes 3, 0.
Node 1 is connected to node 3.
Node 4 is connected to node 5.
Node 0 is connected to node 2.","[0, 1, 2, 3, 4, 5]",6,5,False,What is the degree of node 4?,1,"Let's solve this problem step by step.
The neighbors of node 4 are: [5], and there are 1 neighbor nodes.
So the degree of node 4 is ","('[6, 1, 10, 0]',)",1,19
