task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,id
hamiltonian_path,"[(4, 2), (4, 3), (4, 0), (2, 4), (3, 0), (3, 5), (3, 1), (0, 3), (5, 6), (1, 2), (6, 0)]","{4: [2, 3, 0],
2: [4],
3: [0, 5, 1],
0: [3],
5: [6],
1: [2],
6: [0]}","Node 4 is connected to nodes 2, 3, 0.
Node 2 is connected to node 4.
Node 3 is connected to nodes 0, 5, 1.
Node 0 is connected to node 3.
Node 5 is connected to node 6.
Node 1 is connected to node 2.
Node 6 is connected to node 0.","[0, 1, 2, 3, 4, 5, 6]",7,11,True,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[1, 2, 4, 0, 3, 5, 6]",0
hamiltonian_path,"[(4, 0), (4, 1), (0, 2), (2, 3)]","{4: [0, 1],
0: [4, 2],
1: [4],
2: [0, 3],
3: [2]}","Node 4 is connected to nodes 0, 1.
Node 0 is connected to nodes 4, 2.
Node 1 is connected to node 4.
Node 2 is connected to nodes 0, 3.
Node 3 is connected to node 2.","[0, 1, 2, 3, 4]",5,4,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[1, 4, 0, 2, 3]",1
hamiltonian_path,"[(2, 4), (4, 5), (4, 0), (5, 4), (5, 2), (0, 3), (0, 2), (3, 1), (3, 0), (1, 5)]","{2: [4],
4: [5, 0],
5: [4, 2],
0: [3, 2],
3: [1, 0],
1: [5]}","Node 2 is connected to node 4.
Node 4 is connected to nodes 5, 0.
Node 5 is connected to nodes 4, 2.
Node 0 is connected to nodes 3, 2.
Node 3 is connected to nodes 1, 0.
Node 1 is connected to node 5.","[0, 1, 2, 3, 4, 5]",6,10,True,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[0, 3, 1, 5, 2, 4]",2
hamiltonian_path,"[(2, 1), (2, 0), (1, 4), (1, 3), (0, 4)]","{2: [1, 0],
1: [2, 4, 3],
0: [2, 4],
4: [1, 0],
3: [1]}","Node 2 is connected to nodes 1, 0.
Node 1 is connected to nodes 2, 4, 3.
Node 0 is connected to nodes 2, 4.
Node 4 is connected to nodes 1, 0.
Node 3 is connected to node 1.","[0, 1, 2, 3, 4]",5,5,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[2, 0, 4, 1, 3]",3
hamiltonian_path,"[(0, 4), (0, 2), (4, 1), (2, 1), (2, 3)]","{0: [4, 2],
4: [0, 1],
2: [0, 1, 3],
1: [4, 2],
3: [2]}","Node 0 is connected to nodes 4, 2.
Node 4 is connected to nodes 0, 1.
Node 2 is connected to nodes 0, 1, 3.
Node 1 is connected to nodes 4, 2.
Node 3 is connected to node 2.","[0, 1, 2, 3, 4]",5,5,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[3, 2, 0, 4, 1]",4
hamiltonian_path,"[(4, 0), (4, 2), (4, 6), (4, 3), (0, 1), (6, 3), (6, 5), (6, 1), (3, 5)]","{4: [0, 2, 6, 3],
0: [4, 1],
2: [4],
6: [4, 3, 5, 1],
3: [4, 6, 5],
1: [0, 6],
5: [6, 3]}","Node 4 is connected to nodes 0, 2, 6, 3.
Node 0 is connected to nodes 4, 1.
Node 2 is connected to node 4.
Node 6 is connected to nodes 4, 3, 5, 1.
Node 3 is connected to nodes 4, 6, 5.
Node 1 is connected to nodes 0, 6.
Node 5 is connected to nodes 6, 3.","[0, 1, 2, 3, 4, 5, 6]",7,9,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[2, 4, 0, 1, 6, 3, 5]",5
hamiltonian_path,"[(4, 0), (4, 1), (0, 4), (0, 3), (1, 4), (2, 0), (2, 1)]","{4: [0, 1],
0: [4, 3],
1: [4],
3: [],
2: [0, 1]}","Node 4 is connected to nodes 0, 1.
Node 0 is connected to nodes 4, 3.
Node 1 is connected to node 4.
Node 2 is connected to nodes 0, 1.","[0, 1, 2, 3, 4]",5,7,True,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[2, 1, 4, 0, 3]",6
hamiltonian_path,"[(3, 4), (3, 0), (3, 1), (4, 0), (4, 3), (0, 4), (0, 1), (2, 0), (2, 4)]","{3: [4, 0, 1],
4: [0, 3],
0: [4, 1],
1: [],
2: [0, 4]}","Node 3 is connected to nodes 4, 0, 1.
Node 4 is connected to nodes 0, 3.
Node 0 is connected to nodes 4, 1.
Node 2 is connected to nodes 0, 4.","[0, 1, 2, 3, 4]",5,9,True,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[2, 4, 3, 0, 1]",7
hamiltonian_path,"[(4, 5), (4, 0), (5, 6), (5, 2), (5, 1), (0, 3), (0, 2), (6, 5), (6, 0), (6, 1), (2, 6), (2, 3), (2, 5), (2, 4), (1, 4), (1, 5), (1, 6), (3, 4), (3, 6)]","{4: [5, 0],
5: [6, 2, 1],
0: [3, 2],
6: [5, 0, 1],
2: [6, 3, 5, 4],
1: [4, 5, 6],
3: [4, 6]}","Node 4 is connected to nodes 5, 0.
Node 5 is connected to nodes 6, 2, 1.
Node 0 is connected to nodes 3, 2.
Node 6 is connected to nodes 5, 0, 1.
Node 2 is connected to nodes 6, 3, 5, 4.
Node 1 is connected to nodes 4, 5, 6.
Node 3 is connected to nodes 4, 6.","[0, 1, 2, 3, 4, 5, 6]",7,19,True,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[3, 4, 0, 2, 6, 1, 5]",8
hamiltonian_path,"[(4, 3), (4, 2), (4, 0), (3, 1), (3, 2), (2, 0), (0, 1)]","{4: [3, 2, 0],
3: [4, 1, 2],
2: [4, 3, 0],
0: [4, 2, 1],
1: [3, 0]}","Node 4 is connected to nodes 3, 2, 0.
Node 3 is connected to nodes 4, 1, 2.
Node 2 is connected to nodes 4, 3, 0.
Node 0 is connected to nodes 4, 2, 1.
Node 1 is connected to nodes 3, 0.","[0, 1, 2, 3, 4]",5,7,False,"Find a Hamiltonian path in this graph. A Hamiltonian path in a graph is a path that visits each node exactly once, traversing along edges, and the starting node and ending node may be different. ","[1, 0, 4, 3, 2]",9
