task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
connectivity,"[(8, 4), (8, 5), (4, 1), (5, 2), (1, 7), (1, 6), (3, 10), (3, 11), (10, 7), (11, 9), (0, 9), (6, 2)]","{8: [4, 5],
4: [8, 1],
5: [8, 2],
1: [4, 7, 6],
3: [10, 11],
10: [3, 7],
11: [3, 9],
7: [10, 1],
0: [9],
9: [0, 11],
6: [1, 2],
2: [5, 6]}","Node 8 is connected to nodes 4, 5.
Node 4 is connected to nodes 8, 1.
Node 5 is connected to nodes 8, 2.
Node 1 is connected to nodes 4, 7, 6.
Node 3 is connected to nodes 10, 11.
Node 10 is connected to nodes 3, 7.
Node 11 is connected to nodes 3, 9.
Node 7 is connected to nodes 10, 1.
Node 0 is connected to node 9.
Node 9 is connected to nodes 0, 11.
Node 6 is connected to nodes 1, 2.
Node 2 is connected to nodes 5, 6.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",12,12,False,Is there a path between node 0 and node 4?,Yes,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node 0 is [0, 9, 11, 3, 10, 7, 1, 6, 2, 5, 8, 4].
Node 4 is in the traversal, so the answer is ","('[Yes, No]',)",0,0
connectivity,"[(2, 4), (2, 0), (0, 1), (0, 10), (14, 4), (11, 13), (11, 7), (11, 5), (13, 9), (7, 6), (7, 12), (5, 3), (5, 2), (5, 14), (5, 11), (1, 12), (1, 7), (1, 0), (1, 11), (12, 10), (12, 2), (10, 9), (10, 5), (10, 11), (8, 2), (8, 11), (3, 0), (3, 11), (3, 5)]","{2: [4, 0],
4: [],
0: [1, 10],
14: [4],
11: [13, 7, 5],
13: [9],
7: [6, 12],
5: [3, 2, 14, 11],
9: [],
1: [12, 7, 0, 11],
12: [10, 2],
10: [9, 5, 11],
6: [],
8: [2, 11],
3: [0, 11, 5]}","Node 2 is connected to nodes 4, 0.
Node 0 is connected to nodes 1, 10.
Node 14 is connected to node 4.
Node 11 is connected to nodes 13, 7, 5.
Node 13 is connected to node 9.
Node 7 is connected to nodes 6, 12.
Node 5 is connected to nodes 3, 2, 14, 11.
Node 1 is connected to nodes 12, 7, 0, 11.
Node 12 is connected to nodes 10, 2.
Node 10 is connected to nodes 9, 5, 11.
Node 8 is connected to nodes 2, 11.
Node 3 is connected to nodes 0, 11, 5.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",15,29,True,Is there a directed path from node 4 to node 3?,No,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node 4 is [4].
Node 3 is not in the traversal, so the answer is ","('[Yes, No]',)",1,1
connectivity,"[(10, 8), (10, 5), (8, 1), (8, 6), (8, 0), (5, 2), (5, 7), (5, 8), (5, 1), (5, 6), (2, 0), (2, 3), (2, 11), (2, 6), (2, 10), (0, 3), (0, 8), (0, 11), (0, 1), (0, 2), (3, 10), (3, 9), (11, 2), (11, 4), (11, 3), (6, 10), (6, 3), (4, 9), (4, 0), (4, 11), (4, 1), (4, 5), (9, 7), (9, 1), (9, 6), (9, 10), (9, 2), (1, 10), (1, 7), (1, 0), (7, 0), (7, 6), (7, 5), (7, 10), (7, 4)]","{10: [8, 5],
8: [1, 6, 0],
5: [2, 7, 8, 1, 6],
2: [0, 3, 11, 6, 10],
0: [3, 8, 11, 1, 2],
3: [10, 9],
11: [2, 4, 3],
6: [10, 3],
4: [9, 0, 11, 1, 5],
9: [7, 1, 6, 10, 2],
1: [10, 7, 0],
7: [0, 6, 5, 10, 4]}","Node 10 is connected to nodes 8, 5.
Node 8 is connected to nodes 1, 6, 0.
Node 5 is connected to nodes 2, 7, 8, 1, 6.
Node 2 is connected to nodes 0, 3, 11, 6, 10.
Node 0 is connected to nodes 3, 8, 11, 1, 2.
Node 3 is connected to nodes 10, 9.
Node 11 is connected to nodes 2, 4, 3.
Node 6 is connected to nodes 10, 3.
Node 4 is connected to nodes 9, 0, 11, 1, 5.
Node 9 is connected to nodes 7, 1, 6, 10, 2.
Node 1 is connected to nodes 10, 7, 0.
Node 7 is connected to nodes 0, 6, 5, 10, 4.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",12,45,True,Is there a directed path from node 3 to node 9?,Yes,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node 3 is [3, 9, 2, 10, 5, 6, 1, 0, 11, 4, 8, 7].
Node 9 is in the traversal, so the answer is ","('[Yes, No]',)",0,2
connectivity,"[(4, 10), (4, 8), (4, 0), (10, 0), (10, 7), (10, 9), (10, 4), (8, 9), (0, 8), (7, 9), (9, 1), (3, 11), (3, 5), (3, 6), (11, 2), (11, 7), (11, 3), (5, 7), (5, 10), (6, 8), (6, 7)]","{4: [10, 8, 0],
10: [0, 7, 9, 4],
8: [9],
0: [8],
7: [9],
9: [1],
3: [11, 5, 6],
11: [2, 7, 3],
5: [7, 10],
6: [8, 7],
2: [],
1: []}","Node 4 is connected to nodes 10, 8, 0.
Node 10 is connected to nodes 0, 7, 9, 4.
Node 8 is connected to node 9.
Node 0 is connected to node 8.
Node 7 is connected to node 9.
Node 9 is connected to node 1.
Node 3 is connected to nodes 11, 5, 6.
Node 11 is connected to nodes 2, 7, 3.
Node 5 is connected to nodes 7, 10.
Node 6 is connected to nodes 8, 7.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",12,21,True,Is there a directed path from node 10 to node 5?,No,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node 10 is [10, 4, 0, 8, 9, 1, 7].
Node 5 is not in the traversal, so the answer is ","('[Yes, No]',)",1,3
connectivity,"[(0, 4), (0, 12), (0, 11), (0, 3), (12, 10), (11, 7), (3, 5), (3, 6), (3, 8), (10, 9), (9, 2), (9, 1)]","{0: [4, 12, 11, 3],
4: [0],
12: [0, 10],
11: [0, 7],
3: [0, 5, 6, 8],
5: [3],
6: [3],
8: [3],
10: [12, 9],
9: [10, 2, 1],
7: [11],
2: [9],
1: [9]}","Node 0 is connected to nodes 4, 12, 11, 3.
Node 4 is connected to node 0.
Node 12 is connected to nodes 0, 10.
Node 11 is connected to nodes 0, 7.
Node 3 is connected to nodes 0, 5, 6, 8.
Node 5 is connected to node 3.
Node 6 is connected to node 3.
Node 8 is connected to node 3.
Node 10 is connected to nodes 12, 9.
Node 9 is connected to nodes 10, 2, 1.
Node 7 is connected to node 11.
Node 2 is connected to node 9.
Node 1 is connected to node 9.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",13,12,False,Is there a path between node 9 and node 1?,Yes,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node 9 is [9, 1, 2, 10, 12, 0, 3, 8, 6, 5, 11, 7, 4].
Node 1 is in the traversal, so the answer is ","('[Yes, No]',)",0,4
connectivity,"[(3, 5), (3, 7), (3, 6), (5, 8), (5, 7), (7, 4), (7, 8), (8, 2), (8, 0), (8, 6), (2, 0), (0, 4), (0, 8), (1, 3), (1, 8), (1, 7)]","{3: [5, 7, 6],
5: [8, 7],
7: [4, 8],
6: [],
8: [2, 0, 6],
2: [0],
0: [4, 8],
4: [],
1: [3, 8, 7]}","Node 3 is connected to nodes 5, 7, 6.
Node 5 is connected to nodes 8, 7.
Node 7 is connected to nodes 4, 8.
Node 8 is connected to nodes 2, 0, 6.
Node 2 is connected to node 0.
Node 0 is connected to nodes 4, 8.
Node 1 is connected to nodes 3, 8, 7.","[0, 1, 2, 3, 4, 5, 6, 7, 8]",9,16,True,Is there a directed path from node 7 to node 3?,No,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node 7 is [7, 8, 6, 0, 4, 2].
Node 3 is not in the traversal, so the answer is ","('[Yes, No]',)",1,5
connectivity,"[(4, 0), (4, 6), (4, 11), (4, 9), (4, 7), (4, 1), (0, 6), (0, 11), (0, 9), (0, 12), (0, 2), (6, 11), (6, 9), (6, 5), (6, 7), (6, 1), (6, 12), (6, 2), (11, 10), (11, 13), (11, 12), (9, 10), (9, 5), (9, 8), (9, 1), (9, 12), (9, 2), (9, 3), (7, 5), (7, 13), (7, 1), (7, 3), (1, 10), (1, 5), (1, 13), (1, 12), (1, 2), (12, 3), (2, 5), (2, 3), (5, 13), (10, 3), (3, 13), (13, 8)]","{4: [0, 6, 11, 9, 7, 1],
0: [4, 6, 11, 9, 12, 2],
6: [4, 0, 11, 9, 5, 7, 1, 12, 2],
11: [4, 0, 6, 10, 13, 12],
9: [4, 0, 6, 10, 5, 8, 1, 12, 2, 3],
7: [4, 6, 5, 13, 1, 3],
1: [4, 6, 10, 9, 5, 7, 13, 12, 2],
12: [0, 6, 11, 9, 1, 3],
2: [0, 6, 9, 5, 1, 3],
5: [6, 9, 7, 13, 1, 2],
10: [11, 9, 1, 3],
3: [10, 9, 7, 13, 12, 2],
13: [11, 5, 7, 8, 1, 3],
8: [9, 13]}","Node 4 is connected to nodes 0, 6, 11, 9, 7, 1.
Node 0 is connected to nodes 4, 6, 11, 9, 12, 2.
Node 6 is connected to nodes 4, 0, 11, 9, 5, 7, 1, 12, 2.
Node 11 is connected to nodes 4, 0, 6, 10, 13, 12.
Node 9 is connected to nodes 4, 0, 6, 10, 5, 8, 1, 12, 2, 3.
Node 7 is connected to nodes 4, 6, 5, 13, 1, 3.
Node 1 is connected to nodes 4, 6, 10, 9, 5, 7, 13, 12, 2.
Node 12 is connected to nodes 0, 6, 11, 9, 1, 3.
Node 2 is connected to nodes 0, 6, 9, 5, 1, 3.
Node 5 is connected to nodes 6, 9, 7, 13, 1, 2.
Node 10 is connected to nodes 11, 9, 1, 3.
Node 3 is connected to nodes 10, 9, 7, 13, 12, 2.
Node 13 is connected to nodes 11, 5, 7, 8, 1, 3.
Node 8 is connected to nodes 9, 13.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",14,44,False,Is there a path between node 12 and node 6?,Yes,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node 12 is [12, 3, 2, 1, 13, 8, 9, 5, 7, 6, 11, 10, 0, 4].
Node 6 is in the traversal, so the answer is ","('[Yes, No]',)",0,6
connectivity,"[(3, 9), (9, 12), (9, 11), (5, 6), (6, 12), (6, 10), (6, 7), (1, 0), (1, 7), (1, 12), (1, 9), (0, 10), (7, 0), (12, 0), (12, 6), (10, 8), (10, 7), (8, 7), (8, 6), (4, 6), (4, 8), (2, 3), (2, 5), (2, 8), (11, 2)]","{3: [9],
9: [12, 11],
5: [6],
6: [12, 10, 7],
1: [0, 7, 12, 9],
0: [10],
7: [0],
12: [0, 6],
10: [8, 7],
8: [7, 6],
4: [6, 8],
2: [3, 5, 8],
11: [2]}","Node 3 is connected to node 9.
Node 9 is connected to nodes 12, 11.
Node 5 is connected to node 6.
Node 6 is connected to nodes 12, 10, 7.
Node 1 is connected to nodes 0, 7, 12, 9.
Node 0 is connected to node 10.
Node 7 is connected to node 0.
Node 12 is connected to nodes 0, 6.
Node 10 is connected to nodes 8, 7.
Node 8 is connected to nodes 7, 6.
Node 4 is connected to nodes 6, 8.
Node 2 is connected to nodes 3, 5, 8.
Node 11 is connected to node 2.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",13,25,True,Is there a directed path from node 8 to node 3?,No,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node 8 is [8, 6, 7, 0, 10, 12].
Node 3 is not in the traversal, so the answer is ","('[Yes, No]',)",1,7
connectivity,"[(6, 13), (6, 10), (6, 11), (6, 9), (6, 8), (6, 12), (6, 4), (6, 3), (6, 5), (6, 0), (13, 5), (10, 12), (10, 9), (10, 1), (10, 2), (11, 2), (8, 2), (4, 2), (4, 7), (3, 2), (5, 1), (5, 2), (0, 2), (2, 7)]","{6: [13, 10, 11, 9, 8, 12, 4, 3, 5, 0],
13: [6, 5],
10: [6, 12, 9, 1, 2],
11: [6, 2],
9: [6, 10],
8: [6, 2],
12: [6, 10],
4: [6, 2, 7],
3: [6, 2],
5: [6, 13, 1, 2],
0: [6, 2],
1: [10, 5],
2: [10, 5, 3, 11, 4, 0, 7, 8],
7: [2, 4]}","Node 6 is connected to nodes 13, 10, 11, 9, 8, 12, 4, 3, 5, 0.
Node 13 is connected to nodes 6, 5.
Node 10 is connected to nodes 6, 12, 9, 1, 2.
Node 11 is connected to nodes 6, 2.
Node 9 is connected to nodes 6, 10.
Node 8 is connected to nodes 6, 2.
Node 12 is connected to nodes 6, 10.
Node 4 is connected to nodes 6, 2, 7.
Node 3 is connected to nodes 6, 2.
Node 5 is connected to nodes 6, 13, 1, 2.
Node 0 is connected to nodes 6, 2.
Node 1 is connected to nodes 10, 5.
Node 2 is connected to nodes 10, 5, 3, 11, 4, 0, 7, 8.
Node 7 is connected to nodes 2, 4.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",14,24,False,Is there a path between node 4 and node 8?,Yes,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node 4 is [4, 7, 2, 8, 6, 0, 5, 1, 10, 9, 12, 13, 3, 11].
Node 8 is in the traversal, so the answer is ","('[Yes, No]',)",0,8
connectivity,"[(4, 1), (1, 2), (1, 6), (2, 5), (6, 5), (3, 0), (3, 7), (0, 7)]","{4: [1],
1: [4, 2, 6],
2: [1, 5],
6: [1, 5],
5: [2, 6],
3: [0, 7],
0: [3, 7],
7: [3, 0]}","Node 4 is connected to node 1.
Node 1 is connected to nodes 4, 2, 6.
Node 2 is connected to nodes 1, 5.
Node 6 is connected to nodes 1, 5.
Node 5 is connected to nodes 2, 6.
Node 3 is connected to nodes 0, 7.
Node 0 is connected to nodes 3, 7.
Node 7 is connected to nodes 3, 0.","[0, 1, 2, 3, 4, 5, 6, 7]",8,8,False,Is there a path between node 3 and node 1?,No,"Let's solve it step by step. We can use the depth-first search (DFS) algorithm to detect connectivity between two nodes.
The DFS traversal start from node 3 is [3, 7, 0].
Node 1 is not in the traversal, so the answer is ","('[Yes, No]',)",1,9
