task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
predecessor,"[(4, 9), (4, 10), (4, 5), (9, 6), (9, 3), (9, 5), (10, 2), (10, 8), (10, 0), (6, 7), (6, 3), (6, 4), (6, 8), (3, 7), (8, 1), (8, 0), (8, 7), (1, 0), (1, 2), (1, 5), (1, 9), (0, 2), (7, 3), (7, 8), (2, 11), (2, 5), (2, 10), (11, 12), (12, 4), (12, 10)]","{4: [9, 10, 5],
9: [6, 3, 5],
10: [2, 8, 0],
5: [],
6: [7, 3, 4, 8],
3: [7],
8: [1, 0, 7],
1: [0, 2, 5, 9],
0: [2],
7: [3, 8],
2: [11, 5, 10],
11: [12],
12: [4, 10]}","Node 4 is connected to nodes 9, 10, 5.
Node 9 is connected to nodes 6, 3, 5.
Node 10 is connected to nodes 2, 8, 0.
Node 6 is connected to nodes 7, 3, 4, 8.
Node 3 is connected to node 7.
Node 8 is connected to nodes 1, 0, 7.
Node 1 is connected to nodes 0, 2, 5, 9.
Node 0 is connected to node 2.
Node 7 is connected to nodes 3, 8.
Node 2 is connected to nodes 11, 5, 10.
Node 11 is connected to node 12.
Node 12 is connected to nodes 4, 10.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",13,30,True,Which are the predecessor nodes of node 7? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[8, 6, 3]","Let's solve it step by step.
Nodes [8, 6, 3] connect to node 7, so the predecessor nodes of node 7 are ","('[[1, 10, 5, 0, 4, 3, 2, 8], [2, 3, 7, 4], [8, 6, 3], [0, 1, 8]]',)",2,0
predecessor,"[(0, 2), (0, 7), (2, 8), (2, 9), (7, 1), (4, 8), (8, 6), (5, 10), (10, 3), (10, 5), (6, 8), (1, 7), (9, 0), (3, 7), (3, 4), (3, 5), (3, 8)]","{0: [2, 7],
2: [8, 9],
7: [1],
4: [8],
8: [6],
5: [10],
10: [3, 5],
6: [8],
1: [7],
9: [0],
3: [7, 4, 5, 8]}","Node 0 is connected to nodes 2, 7.
Node 2 is connected to nodes 8, 9.
Node 7 is connected to node 1.
Node 4 is connected to node 8.
Node 8 is connected to node 6.
Node 5 is connected to node 10.
Node 10 is connected to nodes 3, 5.
Node 6 is connected to node 8.
Node 1 is connected to node 7.
Node 9 is connected to node 0.
Node 3 is connected to nodes 7, 4, 5, 8.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",11,17,True,Which are the predecessor nodes of node 8? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[4, 2, 3, 6]","Let's solve it step by step.
Nodes [4, 2, 3, 6] connect to node 8, so the predecessor nodes of node 8 are ","('[[0, 5, 3, 4, 10, 6, 9, 1, 7], [9, 10, 1, 5], [], [4, 2, 3, 6]]',)",3,1
predecessor,"[(8, 6), (6, 4), (7, 8), (4, 1), (4, 5), (4, 7), (4, 2), (1, 5), (1, 2), (5, 7), (5, 2), (5, 3), (3, 6), (3, 8), (3, 2), (0, 6), (0, 7)]","{8: [6],
6: [4],
7: [8],
4: [1, 5, 7, 2],
1: [5, 2],
5: [7, 2, 3],
2: [],
3: [6, 8, 2],
0: [6, 7]}","Node 8 is connected to node 6.
Node 6 is connected to node 4.
Node 7 is connected to node 8.
Node 4 is connected to nodes 1, 5, 7, 2.
Node 1 is connected to nodes 5, 2.
Node 5 is connected to nodes 7, 2, 3.
Node 3 is connected to nodes 6, 8, 2.
Node 0 is connected to nodes 6, 7.","[0, 1, 2, 3, 4, 5, 6, 7, 8]",9,17,True,Which are the predecessor nodes of node 1? A predecessor of n is a node m such that there exists a directed edge from m to n.,[4],"Let's solve it step by step.
Nodes [4] connect to node 1, so the predecessor nodes of node 1 are ","('[[2, 8, 3], [4], [5, 4, 2], [5, 2, 6, 0, 4, 7, 3]]',)",1,2
predecessor,"[(10, 1), (10, 7), (10, 8), (1, 4), (7, 2), (7, 0), (8, 7), (4, 9), (9, 7), (9, 8), (9, 10), (5, 7), (5, 4), (2, 5), (0, 3), (0, 8), (0, 1), (0, 9), (0, 7), (6, 2), (3, 8), (3, 5), (3, 6), (3, 0)]","{10: [1, 7, 8],
1: [4],
7: [2, 0],
8: [7],
4: [9],
9: [7, 8, 10],
5: [7, 4],
2: [5],
0: [3, 8, 1, 9, 7],
6: [2],
3: [8, 5, 6, 0]}","Node 10 is connected to nodes 1, 7, 8.
Node 1 is connected to node 4.
Node 7 is connected to nodes 2, 0.
Node 8 is connected to node 7.
Node 4 is connected to node 9.
Node 9 is connected to nodes 7, 8, 10.
Node 5 is connected to nodes 7, 4.
Node 2 is connected to node 5.
Node 0 is connected to nodes 3, 8, 1, 9, 7.
Node 6 is connected to node 2.
Node 3 is connected to nodes 8, 5, 6, 0.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",11,24,True,Which are the predecessor nodes of node 0? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[7, 3]","Let's solve it step by step.
Nodes [7, 3] connect to node 0, so the predecessor nodes of node 0 are ","('[[8, 6], [7, 3], [10, 2, 0, 5, 6, 3, 7], [4, 8, 5, 10, 0, 3, 7, 9, 6]]',)",1,3
predecessor,"[(1, 4), (1, 8), (1, 9), (1, 2), (1, 6), (4, 9), (4, 6), (4, 1), (8, 5), (8, 1), (9, 2), (9, 1), (9, 4), (9, 7), (2, 4), (2, 8), (2, 5), (2, 7), (6, 8), (6, 5), (0, 9), (0, 2), (5, 7), (5, 3), (7, 9), (7, 2), (7, 6), (7, 4), (7, 3)]","{1: [4, 8, 9, 2, 6],
4: [9, 6, 1],
8: [5, 1],
9: [2, 1, 4, 7],
2: [4, 8, 5, 7],
6: [8, 5],
0: [9, 2],
5: [7, 3],
7: [9, 2, 6, 4, 3],
3: []}","Node 1 is connected to nodes 4, 8, 9, 2, 6.
Node 4 is connected to nodes 9, 6, 1.
Node 8 is connected to nodes 5, 1.
Node 9 is connected to nodes 2, 1, 4, 7.
Node 2 is connected to nodes 4, 8, 5, 7.
Node 6 is connected to nodes 8, 5.
Node 0 is connected to nodes 9, 2.
Node 5 is connected to nodes 7, 3.
Node 7 is connected to nodes 9, 2, 6, 4, 3.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,29,True,Which are the predecessor nodes of node 1? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[4, 8, 9]","Let's solve it step by step.
Nodes [4, 8, 9] connect to node 1, so the predecessor nodes of node 1 are ","('[[7, 1, 2, 4, 3, 6, 9], [4, 3, 8, 6], [4, 8, 9], [5, 2]]',)",2,4
predecessor,"[(5, 1), (5, 6), (5, 4), (1, 6), (1, 4), (1, 3), (1, 5), (1, 0), (6, 4), (6, 3), (6, 5), (6, 7), (4, 3), (4, 1), (4, 6), (7, 0), (7, 1), (7, 2), (7, 6), (7, 3), (0, 1), (0, 2), (0, 3), (0, 5), (0, 7), (2, 6), (2, 5), (2, 0), (2, 1), (3, 0), (3, 1), (3, 2), (3, 4)]","{5: [1, 6, 4],
1: [6, 4, 3, 5, 0],
6: [4, 3, 5, 7],
4: [3, 1, 6],
7: [0, 1, 2, 6, 3],
0: [1, 2, 3, 5, 7],
2: [6, 5, 0, 1],
3: [0, 1, 2, 4]}","Node 5 is connected to nodes 1, 6, 4.
Node 1 is connected to nodes 6, 4, 3, 5, 0.
Node 6 is connected to nodes 4, 3, 5, 7.
Node 4 is connected to nodes 3, 1, 6.
Node 7 is connected to nodes 0, 1, 2, 6, 3.
Node 0 is connected to nodes 1, 2, 3, 5, 7.
Node 2 is connected to nodes 6, 5, 0, 1.
Node 3 is connected to nodes 0, 1, 2, 4.","[0, 1, 2, 3, 4, 5, 6, 7]",8,33,True,Which are the predecessor nodes of node 2? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[7, 0, 3]","Let's solve it step by step.
Nodes [7, 0, 3] connect to node 2, so the predecessor nodes of node 2 are ","('[[6, 3, 1, 2, 0], [5, 3, 1], [7, 0, 3], [5, 2, 6, 4, 3, 7, 0]]',)",2,5
predecessor,"[(4, 6), (4, 7), (4, 9), (6, 3), (6, 10), (7, 8), (7, 5), (7, 2), (7, 1), (9, 0), (5, 2), (5, 7), (5, 9), (2, 0), (0, 1), (0, 7), (3, 5), (3, 2), (3, 6), (3, 0), (3, 8), (1, 7), (1, 4), (1, 2), (8, 9), (8, 1), (8, 0)]","{4: [6, 7, 9],
6: [3, 10],
7: [8, 5, 2, 1],
9: [0],
5: [2, 7, 9],
2: [0],
0: [1, 7],
3: [5, 2, 6, 0, 8],
10: [],
1: [7, 4, 2],
8: [9, 1, 0]}","Node 4 is connected to nodes 6, 7, 9.
Node 6 is connected to nodes 3, 10.
Node 7 is connected to nodes 8, 5, 2, 1.
Node 9 is connected to node 0.
Node 5 is connected to nodes 2, 7, 9.
Node 2 is connected to node 0.
Node 0 is connected to nodes 1, 7.
Node 3 is connected to nodes 5, 2, 6, 0, 8.
Node 1 is connected to nodes 7, 4, 2.
Node 8 is connected to nodes 9, 1, 0.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",11,27,True,Which are the predecessor nodes of node 8? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[7, 3]","Let's solve it step by step.
Nodes [7, 3] connect to node 8, so the predecessor nodes of node 8 are ","('[[7], [0, 3, 6, 2, 7, 5, 1, 9, 8, 4], [2, 1, 7, 8, 10, 4, 6], [7, 3]]',)",3,6
predecessor,"[(1, 7), (1, 6), (6, 4), (3, 0), (3, 5), (3, 1), (0, 8), (0, 9), (0, 10), (5, 11), (5, 0), (5, 6), (9, 2), (9, 5), (9, 1), (9, 7), (2, 4), (2, 8), (2, 7), (2, 11), (10, 8), (8, 2), (11, 2), (4, 5), (4, 7), (4, 9), (4, 11)]","{1: [7, 6],
7: [],
6: [4],
3: [0, 5, 1],
0: [8, 9, 10],
5: [11, 0, 6],
9: [2, 5, 1, 7],
2: [4, 8, 7, 11],
10: [8],
8: [2],
11: [2],
4: [5, 7, 9, 11]}","Node 1 is connected to nodes 7, 6.
Node 6 is connected to node 4.
Node 3 is connected to nodes 0, 5, 1.
Node 0 is connected to nodes 8, 9, 10.
Node 5 is connected to nodes 11, 0, 6.
Node 9 is connected to nodes 2, 5, 1, 7.
Node 2 is connected to nodes 4, 8, 7, 11.
Node 10 is connected to node 8.
Node 8 is connected to node 2.
Node 11 is connected to node 2.
Node 4 is connected to nodes 5, 7, 9, 11.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",12,27,True,Which are the predecessor nodes of node 9? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[0, 4]","Let's solve it step by step.
Nodes [0, 4] connect to node 9, so the predecessor nodes of node 9 are ","('[[7, 5, 11, 8, 0, 10, 3, 2, 9, 6], [11, 8, 10, 2, 3, 1, 0, 7, 9, 4, 6], [0, 4], [0, 8, 10]]',)",2,7
predecessor,"[(6, 7), (6, 2), (6, 10), (6, 4), (7, 11), (7, 4), (2, 10), (2, 0), (2, 11), (10, 4), (10, 8), (10, 6), (10, 7), (10, 3), (10, 11), (10, 2), (4, 6), (4, 7), (4, 0), (4, 11), (4, 5), (4, 10), (11, 9), (11, 6), (11, 0), (0, 1), (0, 4), (0, 8), (1, 4), (1, 8), (1, 6), (1, 7), (1, 2), (8, 7), (8, 5), (3, 5), (3, 1), (3, 10), (3, 8), (3, 6), (3, 7), (5, 1), (5, 9), (5, 3), (9, 5)]","{6: [7, 2, 10, 4],
7: [11, 4],
2: [10, 0, 11],
10: [4, 8, 6, 7, 3, 11, 2],
4: [6, 7, 0, 11, 5, 10],
11: [9, 6, 0],
0: [1, 4, 8],
1: [4, 8, 6, 7, 2],
8: [7, 5],
3: [5, 1, 10, 8, 6, 7],
5: [1, 9, 3],
9: [5]}","Node 6 is connected to nodes 7, 2, 10, 4.
Node 7 is connected to nodes 11, 4.
Node 2 is connected to nodes 10, 0, 11.
Node 10 is connected to nodes 4, 8, 6, 7, 3, 11, 2.
Node 4 is connected to nodes 6, 7, 0, 11, 5, 10.
Node 11 is connected to nodes 9, 6, 0.
Node 0 is connected to nodes 1, 4, 8.
Node 1 is connected to nodes 4, 8, 6, 7, 2.
Node 8 is connected to nodes 7, 5.
Node 3 is connected to nodes 5, 1, 10, 8, 6, 7.
Node 5 is connected to nodes 1, 9, 3.
Node 9 is connected to node 5.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",12,45,True,Which are the predecessor nodes of node 6? A predecessor of n is a node m such that there exists a directed edge from m to n.,"[3, 11, 1, 10, 4]","Let's solve it step by step.
Nodes [3, 11, 1, 10, 4] connect to node 6, so the predecessor nodes of node 6 are ","('[[3, 11, 1, 10, 4], [5, 6, 0, 1, 4], [5], [1, 6, 7, 0, 10, 3, 9, 4, 5, 8]]',)",0,8
predecessor,"[(2, 0), (2, 6), (0, 7), (0, 4), (6, 5), (6, 7), (6, 0), (3, 5), (5, 3), (7, 1), (7, 2), (4, 0), (4, 6), (4, 5), (4, 1), (4, 2)]","{2: [0, 6],
0: [7, 4],
6: [5, 7, 0],
3: [5],
5: [3],
7: [1, 2],
1: [],
4: [0, 6, 5, 1, 2]}","Node 2 is connected to nodes 0, 6.
Node 0 is connected to nodes 7, 4.
Node 6 is connected to nodes 5, 7, 0.
Node 3 is connected to node 5.
Node 5 is connected to node 3.
Node 7 is connected to nodes 1, 2.
Node 4 is connected to nodes 0, 6, 5, 1, 2.","[0, 1, 2, 3, 4, 5, 6, 7]",8,16,True,Which are the predecessor nodes of node 3? A predecessor of n is a node m such that there exists a directed edge from m to n.,[5],"Let's solve it step by step.
Nodes [5] connect to node 3, so the predecessor nodes of node 3 are ","('[[0, 4, 2, 3, 7], [5], [7, 6, 1, 2, 3, 0], [3, 5, 6]]',)",1,9
