task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
neighbor,"[(4, 9), (4, 6), (4, 12), (4, 0), (4, 10), (4, 11), (4, 1), (4, 2), (9, 6), (9, 3), (9, 12), (9, 7), (9, 0), (9, 10), (9, 13), (9, 11), (9, 1), (9, 8), (6, 3), (6, 12), (6, 10), (6, 11), (6, 1), (12, 3), (12, 13), (12, 1), (12, 8), (0, 7), (0, 10), (0, 1), (0, 2), (0, 5), (10, 3), (10, 7), (10, 13), (10, 11), (10, 2), (10, 8), (10, 5), (11, 7), (11, 13), (11, 1), (11, 2), (1, 7), (1, 2), (1, 8), (2, 13), (2, 8), (2, 5), (3, 8), (3, 5), (7, 13), (7, 5), (13, 5)]","{4: [9, 6, 12, 0, 10, 11, 1, 2],
9: [4, 6, 3, 12, 7, 0, 10, 13, 11, 1, 8],
6: [4, 9, 3, 12, 10, 11, 1],
12: [4, 9, 6, 3, 13, 1, 8],
0: [4, 9, 7, 10, 1, 2, 5],
10: [4, 9, 6, 3, 7, 0, 13, 11, 2, 8, 5],
11: [4, 9, 6, 7, 10, 13, 1, 2],
1: [4, 9, 6, 12, 7, 0, 11, 2, 8],
2: [4, 0, 10, 13, 11, 1, 8, 5],
3: [9, 6, 12, 10, 8, 5],
7: [9, 0, 10, 13, 11, 1, 5],
13: [9, 12, 7, 10, 11, 2, 5],
8: [9, 3, 12, 10, 1, 2],
5: [3, 7, 0, 10, 13, 2]}","Node 4 is connected to nodes 9, 6, 12, 0, 10, 11, 1, 2.
Node 9 is connected to nodes 4, 6, 3, 12, 7, 0, 10, 13, 11, 1, 8.
Node 6 is connected to nodes 4, 9, 3, 12, 10, 11, 1.
Node 12 is connected to nodes 4, 9, 6, 3, 13, 1, 8.
Node 0 is connected to nodes 4, 9, 7, 10, 1, 2, 5.
Node 10 is connected to nodes 4, 9, 6, 3, 7, 0, 13, 11, 2, 8, 5.
Node 11 is connected to nodes 4, 9, 6, 7, 10, 13, 1, 2.
Node 1 is connected to nodes 4, 9, 6, 12, 7, 0, 11, 2, 8.
Node 2 is connected to nodes 4, 0, 10, 13, 11, 1, 8, 5.
Node 3 is connected to nodes 9, 6, 12, 10, 8, 5.
Node 7 is connected to nodes 9, 0, 10, 13, 11, 1, 5.
Node 13 is connected to nodes 9, 12, 7, 10, 11, 2, 5.
Node 8 is connected to nodes 9, 3, 12, 10, 1, 2.
Node 5 is connected to nodes 3, 7, 0, 10, 13, 2.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",14,54,False,Which are the neighbor nodes of node 9? ,"[4, 6, 3, 12, 7, 0, 10, 13, 11, 1, 8]","Let's solve it step by step.
Node 9 connects to nodes [4, 6, 3, 12, 7, 0, 10, 13, 11, 1, 8], so the neighbors of node 9 are ","('[[12, 1, 13, 2, 10, 6, 7, 0, 4, 8], [2, 10, 3, 11, 5], [4, 6, 3, 12, 7, 0, 10, 13, 11, 1, 8], [7, 8, 9, 5, 12, 2, 13, 6, 0, 4, 3, 10, 11]]',)",2,0
neighbor,"[(3, 9), (3, 11), (3, 4), (9, 13), (11, 0), (11, 7), (11, 12), (4, 0), (4, 6), (4, 11), (1, 7), (1, 12), (7, 12), (7, 5), (7, 8), (12, 1), (12, 2), (2, 6), (6, 13), (13, 8), (13, 12), (13, 4), (13, 0), (8, 12), (8, 11), (8, 0), (8, 3), (8, 6), (0, 7), (0, 10), (10, 11)]","{3: [9, 11, 4],
9: [13],
11: [0, 7, 12],
4: [0, 6, 11],
1: [7, 12],
7: [12, 5, 8],
12: [1, 2],
2: [6],
6: [13],
13: [8, 12, 4, 0],
8: [12, 11, 0, 3, 6],
0: [7, 10],
5: [],
10: [11]}","Node 3 is connected to nodes 9, 11, 4.
Node 9 is connected to node 13.
Node 11 is connected to nodes 0, 7, 12.
Node 4 is connected to nodes 0, 6, 11.
Node 1 is connected to nodes 7, 12.
Node 7 is connected to nodes 12, 5, 8.
Node 12 is connected to nodes 1, 2.
Node 2 is connected to node 6.
Node 6 is connected to node 13.
Node 13 is connected to nodes 8, 12, 4, 0.
Node 8 is connected to nodes 12, 11, 0, 3, 6.
Node 0 is connected to nodes 7, 10.
Node 10 is connected to node 11.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",14,31,True,"Which are the neighbor nodes of node 3? In the context of a directed graph, we consider a node's successors as its neighbors. ","[9, 11, 4]","Let's solve it step by step.
Node 3 connects to nodes [9, 11, 4], so the neighbors of node 3 are ","('[[2], [9, 11, 4], [0, 4, 5, 1, 7, 11, 8], [9, 1, 11, 0, 13, 4, 5, 7]]',)",1,1
neighbor,"[(0, 6), (0, 4), (4, 7), (4, 2), (4, 5), (7, 8), (7, 1), (2, 3)]","{0: [6, 4],
6: [0],
4: [0, 7, 2, 5],
7: [4, 8, 1],
2: [4, 3],
5: [4],
8: [7],
1: [7],
3: [2]}","Node 0 is connected to nodes 6, 4.
Node 6 is connected to node 0.
Node 4 is connected to nodes 0, 7, 2, 5.
Node 7 is connected to nodes 4, 8, 1.
Node 2 is connected to nodes 4, 3.
Node 5 is connected to node 4.
Node 8 is connected to node 7.
Node 1 is connected to node 7.
Node 3 is connected to node 2.","[0, 1, 2, 3, 4, 5, 6, 7, 8]",9,8,False,Which are the neighbor nodes of node 2? ,"[4, 3]","Let's solve it step by step.
Node 2 connects to nodes [4, 3], so the neighbors of node 2 are ","('[[3, 4, 0, 8], [], [6, 7, 1, 8, 2, 3], [4, 3]]',)",3,2
neighbor,"[(8, 4), (8, 2), (4, 1), (2, 8), (2, 3), (1, 7), (1, 4), (1, 5), (1, 9), (7, 1), (5, 8), (5, 9), (5, 1), (5, 0), (6, 2), (0, 2), (3, 5), (3, 4)]","{8: [4, 2],
4: [1],
2: [8, 3],
1: [7, 4, 5, 9],
7: [1],
5: [8, 9, 1, 0],
9: [],
6: [2],
0: [2],
3: [5, 4]}","Node 8 is connected to nodes 4, 2.
Node 4 is connected to node 1.
Node 2 is connected to nodes 8, 3.
Node 1 is connected to nodes 7, 4, 5, 9.
Node 7 is connected to node 1.
Node 5 is connected to nodes 8, 9, 1, 0.
Node 6 is connected to node 2.
Node 0 is connected to node 2.
Node 3 is connected to nodes 5, 4.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,18,True,"Which are the neighbor nodes of node 4? In the context of a directed graph, we consider a node's successors as its neighbors. ",[1],"Let's solve it step by step.
Node 4 connects to nodes [1], so the neighbors of node 4 are ","('[[], [], [1], []]',)",2,3
neighbor,"[(12, 7), (12, 11), (12, 0), (12, 5), (12, 1), (7, 2), (7, 5), (7, 8), (7, 1), (11, 0), (11, 8), (11, 10), (0, 5), (0, 3), (0, 8), (5, 9), (5, 8), (5, 10), (5, 1), (1, 9), (1, 6), (1, 3), (1, 8), (2, 9), (2, 10), (8, 4), (8, 3), (10, 6)]","{12: [7, 11, 0, 5, 1],
7: [12, 2, 5, 8, 1],
11: [12, 0, 8, 10],
0: [12, 11, 5, 3, 8],
5: [12, 7, 9, 0, 8, 10, 1],
1: [12, 7, 9, 6, 5, 3, 8],
2: [7, 9, 10],
8: [7, 11, 4, 0, 5, 3, 1],
10: [11, 6, 2, 5],
4: [8],
9: [2, 5, 1],
6: [10, 1],
3: [0, 8, 1]}","Node 12 is connected to nodes 7, 11, 0, 5, 1.
Node 7 is connected to nodes 12, 2, 5, 8, 1.
Node 11 is connected to nodes 12, 0, 8, 10.
Node 0 is connected to nodes 12, 11, 5, 3, 8.
Node 5 is connected to nodes 12, 7, 9, 0, 8, 10, 1.
Node 1 is connected to nodes 12, 7, 9, 6, 5, 3, 8.
Node 2 is connected to nodes 7, 9, 10.
Node 8 is connected to nodes 7, 11, 4, 0, 5, 3, 1.
Node 10 is connected to nodes 11, 6, 2, 5.
Node 4 is connected to node 8.
Node 9 is connected to nodes 2, 5, 1.
Node 6 is connected to nodes 10, 1.
Node 3 is connected to nodes 0, 8, 1.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",13,28,False,Which are the neighbor nodes of node 10? ,"[11, 6, 2, 5]","Let's solve it step by step.
Node 10 connects to nodes [11, 6, 2, 5], so the neighbors of node 10 are ","('[[5, 11], [11, 6, 2, 5], [0, 2, 8, 10], [0, 6]]',)",1,4
neighbor,"[(7, 14), (7, 11), (7, 4), (7, 9), (7, 12), (7, 10), (7, 5), (7, 13), (7, 1), (7, 8), (7, 0), (7, 2), (14, 11), (14, 12), (14, 10), (14, 5), (14, 8), (14, 0), (11, 4), (11, 9), (11, 10), (11, 5), (11, 13), (11, 1), (11, 8), (11, 0), (11, 3), (11, 2), (4, 9), (4, 12), (4, 6), (4, 5), (4, 13), (4, 1), (4, 8), (4, 0), (4, 3), (4, 2), (9, 6), (9, 10), (9, 13), (9, 1), (9, 8), (9, 0), (9, 3), (9, 2), (12, 6), (12, 10), (12, 5), (12, 13), (12, 1), (12, 0), (12, 2), (10, 6), (10, 13), (10, 8), (10, 0), (10, 3), (5, 6), (5, 1), (5, 8), (5, 0), (5, 3), (5, 2), (13, 6), (13, 1), (13, 8), (13, 0), (13, 3), (13, 2), (1, 6), (1, 8), (1, 0), (1, 3), (1, 2), (8, 6), (8, 0), (8, 3), (8, 2), (0, 6), (0, 3), (0, 2), (3, 6)]","{7: [14, 11, 4, 9, 12, 10, 5, 13, 1, 8, 0, 2],
14: [7, 11, 12, 10, 5, 8, 0],
11: [7, 14, 4, 9, 10, 5, 13, 1, 8, 0, 3, 2],
4: [7, 11, 9, 12, 6, 5, 13, 1, 8, 0, 3, 2],
9: [7, 11, 4, 6, 10, 13, 1, 8, 0, 3, 2],
12: [7, 14, 4, 6, 10, 5, 13, 1, 0, 2],
10: [7, 14, 11, 9, 12, 6, 13, 8, 0, 3],
5: [7, 14, 11, 4, 12, 6, 1, 8, 0, 3, 2],
13: [7, 11, 4, 9, 12, 6, 10, 1, 8, 0, 3, 2],
1: [7, 11, 4, 9, 12, 6, 5, 13, 8, 0, 3, 2],
8: [7, 14, 11, 4, 9, 6, 10, 5, 13, 1, 0, 3, 2],
0: [7, 14, 11, 4, 9, 12, 6, 10, 5, 13, 1, 8, 3, 2],
2: [7, 11, 4, 9, 12, 5, 13, 1, 8, 0],
3: [11, 4, 9, 6, 10, 5, 13, 1, 8, 0],
6: [4, 9, 12, 10, 5, 13, 1, 8, 0, 3]}","Node 7 is connected to nodes 14, 11, 4, 9, 12, 10, 5, 13, 1, 8, 0, 2.
Node 14 is connected to nodes 7, 11, 12, 10, 5, 8, 0.
Node 11 is connected to nodes 7, 14, 4, 9, 10, 5, 13, 1, 8, 0, 3, 2.
Node 4 is connected to nodes 7, 11, 9, 12, 6, 5, 13, 1, 8, 0, 3, 2.
Node 9 is connected to nodes 7, 11, 4, 6, 10, 13, 1, 8, 0, 3, 2.
Node 12 is connected to nodes 7, 14, 4, 6, 10, 5, 13, 1, 0, 2.
Node 10 is connected to nodes 7, 14, 11, 9, 12, 6, 13, 8, 0, 3.
Node 5 is connected to nodes 7, 14, 11, 4, 12, 6, 1, 8, 0, 3, 2.
Node 13 is connected to nodes 7, 11, 4, 9, 12, 6, 10, 1, 8, 0, 3, 2.
Node 1 is connected to nodes 7, 11, 4, 9, 12, 6, 5, 13, 8, 0, 3, 2.
Node 8 is connected to nodes 7, 14, 11, 4, 9, 6, 10, 5, 13, 1, 0, 3, 2.
Node 0 is connected to nodes 7, 14, 11, 4, 9, 12, 6, 10, 5, 13, 1, 8, 3, 2.
Node 2 is connected to nodes 7, 11, 4, 9, 12, 5, 13, 1, 8, 0.
Node 3 is connected to nodes 11, 4, 9, 6, 10, 5, 13, 1, 8, 0.
Node 6 is connected to nodes 4, 9, 12, 10, 5, 13, 1, 8, 0, 3.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",15,83,False,Which are the neighbor nodes of node 3? ,"[11, 4, 9, 6, 10, 5, 13, 1, 8, 0]","Let's solve it step by step.
Node 3 connects to nodes [11, 4, 9, 6, 10, 5, 13, 1, 8, 0], so the neighbors of node 3 are ","('[[1, 6, 5, 9, 4, 7], [14, 0, 3, 8, 9, 11, 5, 2, 6, 1, 13, 12, 7], [14, 3, 4, 10, 7], [11, 4, 9, 6, 10, 5, 13, 1, 8, 0]]',)",3,5
neighbor,"[(8, 7), (8, 4), (7, 8), (7, 3), (4, 8), (4, 3), (4, 2), (4, 0), (4, 7), (3, 1), (3, 6), (1, 7), (1, 4), (6, 2), (6, 0), (2, 3), (2, 1), (0, 4), (0, 3), (5, 1), (5, 2), (5, 0), (5, 7)]","{8: [7, 4],
7: [8, 3],
4: [8, 3, 2, 0, 7],
3: [1, 6],
1: [7, 4],
6: [2, 0],
2: [3, 1],
0: [4, 3],
5: [1, 2, 0, 7]}","Node 8 is connected to nodes 7, 4.
Node 7 is connected to nodes 8, 3.
Node 4 is connected to nodes 8, 3, 2, 0, 7.
Node 3 is connected to nodes 1, 6.
Node 1 is connected to nodes 7, 4.
Node 6 is connected to nodes 2, 0.
Node 2 is connected to nodes 3, 1.
Node 0 is connected to nodes 4, 3.
Node 5 is connected to nodes 1, 2, 0, 7.","[0, 1, 2, 3, 4, 5, 6, 7, 8]",9,23,True,"Which are the neighbor nodes of node 7? In the context of a directed graph, we consider a node's successors as its neighbors. ","[8, 3]","Let's solve it step by step.
Node 7 connects to nodes [8, 3], so the neighbors of node 7 are ","('[[0, 6, 7, 5], [1, 0, 6, 2, 7, 3], [3, 6, 8], [8, 3]]',)",3,6
neighbor,"[(9, 10), (9, 7), (9, 8), (9, 4), (10, 11), (10, 1), (7, 3), (7, 4), (7, 5), (7, 0), (8, 3), (8, 11), (4, 3), (4, 11), (4, 5), (4, 2), (4, 6), (11, 3), (11, 1), (11, 5), (11, 6), (1, 3), (1, 6), (6, 2), (6, 0), (5, 2), (2, 0)]","{9: [10, 7, 8, 4],
10: [9, 11, 1],
7: [9, 3, 4, 5, 0],
8: [9, 3, 11],
4: [9, 3, 11, 5, 2, 7, 6],
11: [10, 3, 1, 4, 5, 8, 6],
1: [10, 3, 6, 11],
3: [1, 4, 7, 8, 11],
6: [1, 4, 11, 2, 0],
5: [4, 11, 7, 2],
2: [4, 5, 6, 0],
0: [7, 6, 2]}","Node 9 is connected to nodes 10, 7, 8, 4.
Node 10 is connected to nodes 9, 11, 1.
Node 7 is connected to nodes 9, 3, 4, 5, 0.
Node 8 is connected to nodes 9, 3, 11.
Node 4 is connected to nodes 9, 3, 11, 5, 2, 7, 6.
Node 11 is connected to nodes 10, 3, 1, 4, 5, 8, 6.
Node 1 is connected to nodes 10, 3, 6, 11.
Node 3 is connected to nodes 1, 4, 7, 8, 11.
Node 6 is connected to nodes 1, 4, 11, 2, 0.
Node 5 is connected to nodes 4, 11, 7, 2.
Node 2 is connected to nodes 4, 5, 6, 0.
Node 0 is connected to nodes 7, 6, 2.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",12,27,False,Which are the neighbor nodes of node 0? ,"[7, 6, 2]","Let's solve it step by step.
Node 0 connects to nodes [7, 6, 2], so the neighbors of node 0 are ","('[[1, 7, 5, 11, 10, 9, 2, 3, 4, 6], [10, 9], [7, 6, 2], [10, 9, 0, 5]]',)",2,7
neighbor,"[(4, 5), (4, 2), (4, 3), (4, 6), (4, 1), (1, 7), (1, 0)]","{4: [5, 2, 3, 6, 1],
5: [4],
2: [4],
3: [4],
6: [4],
1: [4, 7, 0],
7: [1],
0: [1]}","Node 4 is connected to nodes 5, 2, 3, 6, 1.
Node 5 is connected to node 4.
Node 2 is connected to node 4.
Node 3 is connected to node 4.
Node 6 is connected to node 4.
Node 1 is connected to nodes 4, 7, 0.
Node 7 is connected to node 1.
Node 0 is connected to node 1.","[0, 1, 2, 3, 4, 5, 6, 7]",8,7,False,Which are the neighbor nodes of node 5? ,[4],"Let's solve it step by step.
Node 5 connects to nodes [4], so the neighbors of node 5 are ","('[[4], [3, 5, 6, 0, 1, 7], [1, 2, 3, 4, 7, 6, 0], []]',)",0,8
neighbor,"[(7, 4), (7, 9), (7, 6), (7, 8), (4, 11), (4, 9), (4, 8), (4, 7), (9, 5), (9, 7), (9, 1), (9, 11), (9, 10), (9, 13), (6, 0), (6, 12), (6, 10), (6, 5), (8, 7), (8, 0), (8, 4), (8, 10), (8, 6), (3, 12), (3, 13), (3, 5), (12, 4), (12, 13), (12, 9), (13, 9), (13, 0), (13, 10), (5, 8), (5, 4), (0, 12), (1, 11), (1, 13), (1, 9), (1, 2), (11, 9), (11, 0), (11, 1), (11, 12), (11, 4), (2, 12), (2, 11), (10, 2), (10, 5), (10, 8)]","{7: [4, 9, 6, 8],
4: [11, 9, 8, 7],
9: [5, 7, 1, 11, 10, 13],
6: [0, 12, 10, 5],
8: [7, 0, 4, 10, 6],
3: [12, 13, 5],
12: [4, 13, 9],
13: [9, 0, 10],
5: [8, 4],
0: [12],
1: [11, 13, 9, 2],
11: [9, 0, 1, 12, 4],
2: [12, 11],
10: [2, 5, 8]}","Node 7 is connected to nodes 4, 9, 6, 8.
Node 4 is connected to nodes 11, 9, 8, 7.
Node 9 is connected to nodes 5, 7, 1, 11, 10, 13.
Node 6 is connected to nodes 0, 12, 10, 5.
Node 8 is connected to nodes 7, 0, 4, 10, 6.
Node 3 is connected to nodes 12, 13, 5.
Node 12 is connected to nodes 4, 13, 9.
Node 13 is connected to nodes 9, 0, 10.
Node 5 is connected to nodes 8, 4.
Node 0 is connected to node 12.
Node 1 is connected to nodes 11, 13, 9, 2.
Node 11 is connected to nodes 9, 0, 1, 12, 4.
Node 2 is connected to nodes 12, 11.
Node 10 is connected to nodes 2, 5, 8.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",14,49,True,"Which are the neighbor nodes of node 10? In the context of a directed graph, we consider a node's successors as its neighbors. ","[2, 5, 8]","Let's solve it step by step.
Node 10 connects to nodes [2, 5, 8], so the neighbors of node 10 are ","('[[12, 2, 5], [10, 7, 0, 5, 3, 13, 1, 6, 8, 4, 12], [0, 13, 10, 1, 12], [2, 5, 8]]',)",3,9
