task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
degree,"[(3, 1), (3, 9), (3, 7), (3, 4), (3, 5), (3, 10), (3, 14), (7, 8), (10, 11), (14, 12), (0, 2), (0, 11), (11, 13), (12, 6)]","{3: [1, 9, 7, 4, 5, 10, 14],
1: [3],
9: [3],
7: [3, 8],
4: [3],
5: [3],
10: [3, 11],
14: [3, 12],
0: [2, 11],
2: [0],
11: [0, 13, 10],
12: [6, 14],
6: [12],
13: [11],
8: [7]}","Node 3 is connected to nodes 1, 9, 7, 4, 5, 10, 14.
Node 1 is connected to node 3.
Node 9 is connected to node 3.
Node 7 is connected to nodes 3, 8.
Node 4 is connected to node 3.
Node 5 is connected to node 3.
Node 10 is connected to nodes 3, 11.
Node 14 is connected to nodes 3, 12.
Node 0 is connected to nodes 2, 11.
Node 2 is connected to node 0.
Node 11 is connected to nodes 0, 13, 10.
Node 12 is connected to nodes 6, 14.
Node 6 is connected to node 12.
Node 13 is connected to node 11.
Node 8 is connected to node 7.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",15,14,False,What is the degree of node 11?,3,"Let's solve this problem step by step.
The neighbors of node 11 are: [0, 13, 10], and there are 3 neighbor nodes.
So the degree of node 11 is ","('[0, 8, 5, 3]',)",3,0
degree,"[(9, 8), (9, 4), (9, 7), (9, 5), (8, 2), (4, 13), (4, 10), (4, 2), (4, 3), (4, 12), (4, 7), (4, 0), (4, 11), (4, 1), (7, 13), (7, 2), (7, 11), (7, 6), (7, 14), (7, 0), (7, 1), (5, 11), (13, 6), (13, 10), (13, 12), (6, 14)]","{9: [8, 4, 7, 5],
8: [9, 2],
4: [9, 13, 10, 2, 3, 12, 7, 0, 11, 1],
7: [9, 4, 13, 2, 11, 6, 14, 0, 1],
5: [9, 11],
2: [8, 4, 7],
13: [4, 7, 6, 10, 12],
10: [4, 13],
3: [4],
12: [4, 13],
0: [4, 7],
11: [4, 5, 7],
1: [4, 7],
6: [13, 7, 14],
14: [7, 6]}","Node 9 is connected to nodes 8, 4, 7, 5.
Node 8 is connected to nodes 9, 2.
Node 4 is connected to nodes 9, 13, 10, 2, 3, 12, 7, 0, 11, 1.
Node 7 is connected to nodes 9, 4, 13, 2, 11, 6, 14, 0, 1.
Node 5 is connected to nodes 9, 11.
Node 2 is connected to nodes 8, 4, 7.
Node 13 is connected to nodes 4, 7, 6, 10, 12.
Node 10 is connected to nodes 4, 13.
Node 3 is connected to node 4.
Node 12 is connected to nodes 4, 13.
Node 0 is connected to nodes 4, 7.
Node 11 is connected to nodes 4, 5, 7.
Node 1 is connected to nodes 4, 7.
Node 6 is connected to nodes 13, 7, 14.
Node 14 is connected to nodes 7, 6.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",15,26,False,What is the degree of node 3?,1,"Let's solve this problem step by step.
The neighbors of node 3 are: [4], and there are 1 neighbor nodes.
So the degree of node 3 is ","('[4, 1, 0, 6]',)",1,1
degree,"[(8, 4), (8, 2), (8, 3), (8, 6), (8, 0), (8, 1), (4, 6), (2, 5), (2, 6), (3, 7), (3, 1), (3, 6), (6, 0), (0, 5)]","{8: [4, 2, 3, 6, 0, 1],
4: [8, 6],
2: [8, 5, 6],
3: [8, 7, 1, 6],
6: [8, 4, 2, 3, 0],
0: [8, 5, 6],
1: [8, 3],
5: [2, 0],
7: [3]}","Node 8 is connected to nodes 4, 2, 3, 6, 0, 1.
Node 4 is connected to nodes 8, 6.
Node 2 is connected to nodes 8, 5, 6.
Node 3 is connected to nodes 8, 7, 1, 6.
Node 6 is connected to nodes 8, 4, 2, 3, 0.
Node 0 is connected to nodes 8, 5, 6.
Node 1 is connected to nodes 8, 3.
Node 5 is connected to nodes 2, 0.
Node 7 is connected to node 3.","[0, 1, 2, 3, 4, 5, 6, 7, 8]",9,14,False,What is the degree of node 6?,5,"Let's solve this problem step by step.
The neighbors of node 6 are: [8, 4, 2, 3, 0], and there are 5 neighbor nodes.
So the degree of node 6 is ","('[0, 5, 4, 3]',)",1,2
degree,"[(5, 0), (5, 9), (5, 8), (5, 3), (0, 7), (0, 2), (0, 6), (0, 4), (0, 8), (0, 3), (9, 2), (9, 6), (9, 8), (9, 1), (8, 7), (8, 1), (3, 4), (3, 1), (7, 6), (7, 1), (2, 6), (2, 4), (2, 1), (6, 1), (4, 1)]","{5: [0, 9, 8, 3],
0: [5, 7, 2, 6, 4, 8, 3],
9: [5, 2, 6, 8, 1],
8: [5, 0, 7, 9, 1],
3: [5, 0, 4, 1],
7: [0, 6, 8, 1],
2: [0, 6, 4, 9, 1],
6: [0, 7, 2, 9, 1],
4: [0, 2, 1, 3],
1: [7, 2, 6, 4, 9, 8, 3]}","Node 5 is connected to nodes 0, 9, 8, 3.
Node 0 is connected to nodes 5, 7, 2, 6, 4, 8, 3.
Node 9 is connected to nodes 5, 2, 6, 8, 1.
Node 8 is connected to nodes 5, 0, 7, 9, 1.
Node 3 is connected to nodes 5, 0, 4, 1.
Node 7 is connected to nodes 0, 6, 8, 1.
Node 2 is connected to nodes 0, 6, 4, 9, 1.
Node 6 is connected to nodes 0, 7, 2, 9, 1.
Node 4 is connected to nodes 0, 2, 1, 3.
Node 1 is connected to nodes 7, 2, 6, 4, 9, 8, 3.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,25,False,What is the degree of node 8?,5,"Let's solve this problem step by step.
The neighbors of node 8 are: [5, 0, 7, 9, 1], and there are 5 neighbor nodes.
So the degree of node 8 is ","('[8, 2, 5, 0]',)",2,3
degree,"[(8, 10), (8, 7), (8, 5), (10, 0), (10, 3), (10, 8), (7, 8), (7, 1), (7, 9), (1, 6), (1, 5), (1, 2), (6, 0), (6, 11), (6, 3), (6, 1), (6, 9), (0, 5), (0, 8), (0, 1), (0, 10), (0, 6), (3, 8), (3, 2), (9, 0), (9, 5), (9, 3), (9, 8), (9, 1), (9, 10), (11, 7), (11, 4), (4, 5), (4, 8), (4, 10), (4, 9), (4, 6)]","{8: [10, 7, 5],
10: [0, 3, 8],
7: [8, 1, 9],
5: [],
1: [6, 5, 2],
6: [0, 11, 3, 1, 9],
2: [],
0: [5, 8, 1, 10, 6],
3: [8, 2],
9: [0, 5, 3, 8, 1, 10],
11: [7, 4],
4: [5, 8, 10, 9, 6]}","Node 8 is connected to nodes 10, 7, 5.
Node 10 is connected to nodes 0, 3, 8.
Node 7 is connected to nodes 8, 1, 9.
Node 1 is connected to nodes 6, 5, 2.
Node 6 is connected to nodes 0, 11, 3, 1, 9.
Node 0 is connected to nodes 5, 8, 1, 10, 6.
Node 3 is connected to nodes 8, 2.
Node 9 is connected to nodes 0, 5, 3, 8, 1, 10.
Node 11 is connected to nodes 7, 4.
Node 4 is connected to nodes 5, 8, 10, 9, 6.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",12,37,True,What is the out-degree of node 9?,6,"Let's solve this problem step by step.
The successors of node 9 are: [0, 5, 3, 8, 1, 10], and there are 6 successor nodes.
So the degree of node 9 is ","('[2, 0, 4, 6]',)",3,4
degree,"[(5, 13), (5, 1), (1, 6), (1, 5), (1, 14), (1, 10), (14, 9), (14, 8), (14, 0), (9, 11), (8, 7), (8, 2), (0, 1), (0, 8), (0, 4), (11, 10), (11, 7), (7, 11), (10, 12), (12, 6), (12, 9), (12, 7), (4, 7), (3, 5), (3, 14), (3, 12)]","{5: [13, 1],
13: [],
1: [6, 5, 14, 10],
14: [9, 8, 0],
9: [11],
8: [7, 2],
0: [1, 8, 4],
11: [10, 7],
7: [11],
2: [],
10: [12],
12: [6, 9, 7],
4: [7],
6: [],
3: [5, 14, 12]}","Node 5 is connected to nodes 13, 1.
Node 1 is connected to nodes 6, 5, 14, 10.
Node 14 is connected to nodes 9, 8, 0.
Node 9 is connected to node 11.
Node 8 is connected to nodes 7, 2.
Node 0 is connected to nodes 1, 8, 4.
Node 11 is connected to nodes 10, 7.
Node 7 is connected to node 11.
Node 10 is connected to node 12.
Node 12 is connected to nodes 6, 9, 7.
Node 4 is connected to node 7.
Node 3 is connected to nodes 5, 14, 12.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",15,26,True,What is the out-degree of node 14?,3,"Let's solve this problem step by step.
The successors of node 14 are: [9, 8, 0], and there are 3 successor nodes.
So the degree of node 14 is ","('[3, 5, 10, 0]',)",0,5
degree,"[(9, 1), (1, 0), (1, 11), (1, 8), (1, 3), (0, 7), (11, 4), (11, 10), (11, 1), (11, 12), (11, 6), (8, 3), (8, 0), (8, 6), (3, 4), (3, 9), (3, 6), (3, 7), (7, 9), (7, 0), (7, 6), (7, 11), (12, 11), (12, 8), (12, 7), (12, 4), (12, 10), (12, 9), (4, 9), (10, 0), (10, 12), (10, 5), (10, 2), (10, 7), (10, 3), (10, 4), (6, 11), (6, 7), (6, 0), (2, 4), (2, 9), (2, 6), (2, 11)]","{9: [1],
1: [0, 11, 8, 3],
0: [7],
11: [4, 10, 1, 12, 6],
8: [3, 0, 6],
3: [4, 9, 6, 7],
7: [9, 0, 6, 11],
12: [11, 8, 7, 4, 10, 9],
4: [9],
10: [0, 12, 5, 2, 7, 3, 4],
6: [11, 7, 0],
2: [4, 9, 6, 11],
5: []}","Node 9 is connected to node 1.
Node 1 is connected to nodes 0, 11, 8, 3.
Node 0 is connected to node 7.
Node 11 is connected to nodes 4, 10, 1, 12, 6.
Node 8 is connected to nodes 3, 0, 6.
Node 3 is connected to nodes 4, 9, 6, 7.
Node 7 is connected to nodes 9, 0, 6, 11.
Node 12 is connected to nodes 11, 8, 7, 4, 10, 9.
Node 4 is connected to node 9.
Node 10 is connected to nodes 0, 12, 5, 2, 7, 3, 4.
Node 6 is connected to nodes 11, 7, 0.
Node 2 is connected to nodes 4, 9, 6, 11.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",13,43,True,What is the out-degree of node 10?,7,"Let's solve this problem step by step.
The successors of node 10 are: [0, 12, 5, 2, 7, 3, 4], and there are 7 successor nodes.
So the degree of node 10 is ","('[7, 0, 5, 4]',)",0,6
degree,"[(4, 0), (4, 7), (4, 8), (4, 10), (0, 3), (0, 12), (0, 1), (0, 6), (0, 9), (0, 11), (0, 8), (7, 12), (7, 2), (7, 5), (7, 9), (7, 8), (8, 3), (8, 1), (8, 6), (8, 9), (8, 10), (10, 2), (10, 6), (10, 5), (10, 11), (3, 12), (3, 2), (3, 1), (3, 6), (3, 5), (12, 6), (12, 11), (1, 9), (6, 2), (6, 5), (9, 2)]","{4: [0, 7, 8, 10],
0: [4, 3, 12, 1, 6, 9, 11, 8],
7: [4, 12, 2, 5, 9, 8],
8: [4, 0, 3, 7, 1, 6, 9, 10],
10: [4, 2, 6, 5, 11, 8],
3: [0, 12, 2, 1, 6, 5, 8],
12: [0, 3, 7, 6, 11],
1: [0, 3, 9, 8],
6: [0, 3, 12, 2, 5, 8, 10],
9: [0, 7, 2, 1, 8],
11: [0, 12, 10],
2: [3, 7, 6, 9, 10],
5: [3, 7, 6, 10]}","Node 4 is connected to nodes 0, 7, 8, 10.
Node 0 is connected to nodes 4, 3, 12, 1, 6, 9, 11, 8.
Node 7 is connected to nodes 4, 12, 2, 5, 9, 8.
Node 8 is connected to nodes 4, 0, 3, 7, 1, 6, 9, 10.
Node 10 is connected to nodes 4, 2, 6, 5, 11, 8.
Node 3 is connected to nodes 0, 12, 2, 1, 6, 5, 8.
Node 12 is connected to nodes 0, 3, 7, 6, 11.
Node 1 is connected to nodes 0, 3, 9, 8.
Node 6 is connected to nodes 0, 3, 12, 2, 5, 8, 10.
Node 9 is connected to nodes 0, 7, 2, 1, 8.
Node 11 is connected to nodes 0, 12, 10.
Node 2 is connected to nodes 3, 7, 6, 9, 10.
Node 5 is connected to nodes 3, 7, 6, 10.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",13,36,False,What is the degree of node 11?,3,"Let's solve this problem step by step.
The neighbors of node 11 are: [0, 12, 10], and there are 3 neighbor nodes.
So the degree of node 11 is ","('[2, 0, 10, 3]',)",3,7
degree,"[(5, 1), (5, 2), (5, 3), (5, 0), (1, 8), (1, 0), (1, 2), (2, 8), (2, 7), (2, 6), (2, 3), (3, 4), (3, 7), (3, 6), (0, 8), (0, 7), (8, 7), (7, 4), (7, 9), (4, 9)]","{5: [1, 2, 3, 0],
1: [5, 8, 0, 2],
2: [5, 1, 8, 7, 6, 3],
3: [5, 4, 7, 6, 2],
0: [5, 1, 8, 7],
8: [1, 7, 0, 2],
7: [8, 0, 4, 2, 3, 9],
4: [7, 9, 3],
9: [4, 7],
6: [2, 3]}","Node 5 is connected to nodes 1, 2, 3, 0.
Node 1 is connected to nodes 5, 8, 0, 2.
Node 2 is connected to nodes 5, 1, 8, 7, 6, 3.
Node 3 is connected to nodes 5, 4, 7, 6, 2.
Node 0 is connected to nodes 5, 1, 8, 7.
Node 8 is connected to nodes 1, 7, 0, 2.
Node 7 is connected to nodes 8, 0, 4, 2, 3, 9.
Node 4 is connected to nodes 7, 9, 3.
Node 9 is connected to nodes 4, 7.
Node 6 is connected to nodes 2, 3.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,20,False,What is the degree of node 5?,4,"Let's solve this problem step by step.
The neighbors of node 5 are: [1, 2, 3, 0], and there are 4 neighbor nodes.
So the degree of node 5 is ","('[0, 7, 4, 9]',)",2,8
degree,"[(3, 9), (3, 11), (11, 0), (0, 8), (0, 4), (0, 13), (0, 5), (0, 1), (0, 6), (0, 2), (8, 12), (1, 10), (1, 7)]","{3: [9, 11],
9: [3],
11: [3, 0],
0: [8, 11, 4, 13, 5, 1, 6, 2],
8: [0, 12],
4: [0],
13: [0],
5: [0],
1: [0, 10, 7],
6: [0],
2: [0],
12: [8],
10: [1],
7: [1]}","Node 3 is connected to nodes 9, 11.
Node 9 is connected to node 3.
Node 11 is connected to nodes 3, 0.
Node 0 is connected to nodes 8, 11, 4, 13, 5, 1, 6, 2.
Node 8 is connected to nodes 0, 12.
Node 4 is connected to node 0.
Node 13 is connected to node 0.
Node 5 is connected to node 0.
Node 1 is connected to nodes 0, 10, 7.
Node 6 is connected to node 0.
Node 2 is connected to node 0.
Node 12 is connected to node 8.
Node 10 is connected to node 1.
Node 7 is connected to node 1.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",14,13,False,What is the degree of node 11?,2,"Let's solve this problem step by step.
The neighbors of node 11 are: [3, 0], and there are 2 neighbor nodes.
So the degree of node 11 is ","('[2, 9, 0, 3]',)",0,9
