task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
neighbor,"[(<3>, <1>), (<3>, <0>), (<1>, <2>), (<0>, <4>), (<0>, <5>)]","{<3>: [<1>, <0>],
<1>: [<3>, <2>],
<0>: [<3>, <4>, <5>],
<2>: [<1>],
<4>: [<0>],
<5>: [<0>]}","Node <3> is connected to nodes <1>, <0>.
Node <1> is connected to nodes <3>, <2>.
Node <0> is connected to nodes <3>, <4>, <5>.
Node <2> is connected to node <1>.
Node <4> is connected to node <0>.
Node <5> is connected to node <0>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,5,False,Which are the neighbor nodes of node <0>? ,"[<3>, <4>, <5>]","Let's solve it step by step.
Node <0> connects to nodes [<3>, <4>, <5>], so the neighbors of node <0> are ","('[[<3>, <4>, <5>], [<1>], [], [<2>, <5>]]',)",0,0
neighbor,"[(<4>, <1>), (<4>, <0>), (<1>, <3>), (<1>, <2>), (<0>, <5>), (<3>, <2>)]","{<4>: [<1>, <0>],
<1>: [<4>, <3>, <2>],
<0>: [<4>, <5>],
<3>: [<1>, <2>],
<2>: [<1>, <3>],
<5>: [<0>]}","Node <4> is connected to nodes <1>, <0>.
Node <1> is connected to nodes <4>, <3>, <2>.
Node <0> is connected to nodes <4>, <5>.
Node <3> is connected to nodes <1>, <2>.
Node <2> is connected to nodes <1>, <3>.
Node <5> is connected to node <0>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,6,False,Which are the neighbor nodes of node <4>? ,"[<1>, <0>]","Let's solve it step by step.
Node <4> connects to nodes [<1>, <0>], so the neighbors of node <4> are ","('[[<4>, <1>, <3>, <0>, <5>], [<1>, <0>], [<0>, <3>, <5>, <2>, <4>], [<1>, <4>, <3>]]',)",1,1
neighbor,"[(<5>, <1>), (<5>, <2>), (<1>, <2>), (<2>, <4>), (<4>, <3>), (<3>, <6>), (<6>, <0>)]","{<5>: [<1>, <2>],
<1>: [<5>, <2>],
<2>: [<5>, <1>, <4>],
<4>: [<2>, <3>],
<3>: [<4>, <6>],
<6>: [<3>, <0>],
<0>: [<6>]}","Node <5> is connected to nodes <1>, <2>.
Node <1> is connected to nodes <5>, <2>.
Node <2> is connected to nodes <5>, <1>, <4>.
Node <4> is connected to nodes <2>, <3>.
Node <3> is connected to nodes <4>, <6>.
Node <6> is connected to nodes <3>, <0>.
Node <0> is connected to node <6>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,7,False,Which are the neighbor nodes of node <0>? ,[<6>],"Let's solve it step by step.
Node <0> connects to nodes [<6>], so the neighbors of node <0> are ","('[[<6>], [<5>], [<4>, <3>, <1>, <2>], [<1>, <0>, <4>, <5>]]',)",0,2
neighbor,"[(<3>, <4>), (<3>, <0>), (<3>, <2>), (<4>, <0>), (<4>, <2>), (<4>, <3>), (<2>, <1>), (<2>, <3>), (<2>, <4>), (<2>, <0>), (<1>, <4>), (<1>, <0>), (<1>, <2>)]","{<3>: [<4>, <0>, <2>],
<4>: [<0>, <2>, <3>],
<0>: [],
<2>: [<1>, <3>, <4>, <0>],
<1>: [<4>, <0>, <2>]}","Node <3> is connected to nodes <4>, <0>, <2>.
Node <4> is connected to nodes <0>, <2>, <3>.
Node <2> is connected to nodes <1>, <3>, <4>, <0>.
Node <1> is connected to nodes <4>, <0>, <2>.","[<0>, <1>, <2>, <3>, <4>]",5,13,True,"Which are the neighbor nodes of node <0>? In the context of a directed graph, we consider a node's successors as its neighbors. ",[],"Let's solve it step by step.
Node <0> connects to nodes [], so the neighbors of node <0> are ","('[[], [<4>, <2>], [<0>, <3>, <4>], [<3>]]',)",0,3
neighbor,"[(<4>, <2>), (<4>, <0>), (<2>, <5>), (<0>, <3>), (<0>, <1>), (<5>, <3>)]","{<4>: [<2>, <0>],
<2>: [<4>, <5>],
<0>: [<4>, <3>, <1>],
<5>: [<2>, <3>],
<3>: [<0>, <5>],
<1>: [<0>]}","Node <4> is connected to nodes <2>, <0>.
Node <2> is connected to nodes <4>, <5>.
Node <0> is connected to nodes <4>, <3>, <1>.
Node <5> is connected to nodes <2>, <3>.
Node <3> is connected to nodes <0>, <5>.
Node <1> is connected to node <0>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,6,False,Which are the neighbor nodes of node <5>? ,"[<2>, <3>]","Let's solve it step by step.
Node <5> connects to nodes [<2>, <3>], so the neighbors of node <5> are ","('[[<4>, <5>, <2>, <3>, <1>], [<2>, <3>], [<2>, <0>, <4>], [<4>, <5>, <3>]]',)",1,4
neighbor,"[(<1>, <2>), (<1>, <5>), (<1>, <4>), (<2>, <0>), (<2>, <5>), (<2>, <4>), (<2>, <1>), (<5>, <1>), (<5>, <2>), (<5>, <6>), (<5>, <3>), (<4>, <1>), (<4>, <2>), (<0>, <3>), (<0>, <5>), (<0>, <4>), (<0>, <2>), (<6>, <0>), (<6>, <4>), (<6>, <1>), (<3>, <5>), (<3>, <1>), (<3>, <6>), (<3>, <0>)]","{<1>: [<2>, <5>, <4>],
<2>: [<0>, <5>, <4>, <1>],
<5>: [<1>, <2>, <6>, <3>],
<4>: [<1>, <2>],
<0>: [<3>, <5>, <4>, <2>],
<6>: [<0>, <4>, <1>],
<3>: [<5>, <1>, <6>, <0>]}","Node <1> is connected to nodes <2>, <5>, <4>.
Node <2> is connected to nodes <0>, <5>, <4>, <1>.
Node <5> is connected to nodes <1>, <2>, <6>, <3>.
Node <4> is connected to nodes <1>, <2>.
Node <0> is connected to nodes <3>, <5>, <4>, <2>.
Node <6> is connected to nodes <0>, <4>, <1>.
Node <3> is connected to nodes <5>, <1>, <6>, <0>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,24,True,"Which are the neighbor nodes of node <2>? In the context of a directed graph, we consider a node's successors as its neighbors. ","[<0>, <5>, <4>, <1>]","Let's solve it step by step.
Node <2> connects to nodes [<0>, <5>, <4>, <1>], so the neighbors of node <2> are ","('[[<5>, <0>], [<0>, <5>, <4>, <1>], [<6>, <5>, <3>, <1>], [<6>, <4>, <5>, <1>, <3>]]',)",1,5
neighbor,"[(<0>, <2>), (<0>, <5>), (<0>, <6>), (<0>, <1>), (<2>, <5>), (<2>, <6>), (<5>, <3>), (<5>, <0>), (<5>, <2>), (<6>, <0>), (<6>, <2>), (<6>, <3>), (<1>, <0>), (<1>, <5>), (<3>, <1>), (<4>, <2>), (<4>, <5>), (<4>, <3>)]","{<0>: [<2>, <5>, <6>, <1>],
<2>: [<5>, <6>],
<5>: [<3>, <0>, <2>],
<6>: [<0>, <2>, <3>],
<1>: [<0>, <5>],
<3>: [<1>],
<4>: [<2>, <5>, <3>]}","Node <0> is connected to nodes <2>, <5>, <6>, <1>.
Node <2> is connected to nodes <5>, <6>.
Node <5> is connected to nodes <3>, <0>, <2>.
Node <6> is connected to nodes <0>, <2>, <3>.
Node <1> is connected to nodes <0>, <5>.
Node <3> is connected to node <1>.
Node <4> is connected to nodes <2>, <5>, <3>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,18,True,"Which are the neighbor nodes of node <0>? In the context of a directed graph, we consider a node's successors as its neighbors. ","[<2>, <5>, <6>, <1>]","Let's solve it step by step.
Node <0> connects to nodes [<2>, <5>, <6>, <1>], so the neighbors of node <0> are ","('[[<5>, <3>, <6>], [<2>, <5>, <6>, <1>], [<0>], [<6>, <1>, <5>, <2>, <0>, <3>]]',)",1,6
neighbor,"[(<2>, <3>), (<2>, <4>), (<3>, <5>), (<5>, <1>), (<1>, <0>)]","{<2>: [<3>, <4>],
<3>: [<2>, <5>],
<4>: [<2>],
<5>: [<3>, <1>],
<1>: [<0>, <5>],
<0>: [<1>]}","Node <2> is connected to nodes <3>, <4>.
Node <3> is connected to nodes <2>, <5>.
Node <4> is connected to node <2>.
Node <5> is connected to nodes <3>, <1>.
Node <1> is connected to nodes <0>, <5>.
Node <0> is connected to node <1>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,5,False,Which are the neighbor nodes of node <5>? ,"[<3>, <1>]","Let's solve it step by step.
Node <5> connects to nodes [<3>, <1>], so the neighbors of node <5> are ","('[[<3>], [<1>, <4>], [<2>, <5>, <3>], [<3>, <1>]]',)",3,7
neighbor,"[(<5>, <2>), (<5>, <4>), (<5>, <3>), (<5>, <0>), (<5>, <1>), (<2>, <3>), (<4>, <6>), (<4>, <0>), (<0>, <1>), (<1>, <6>)]","{<5>: [<2>, <4>, <3>, <0>, <1>],
<2>: [<5>, <3>],
<4>: [<5>, <6>, <0>],
<3>: [<5>, <2>],
<0>: [<5>, <1>, <4>],
<1>: [<5>, <6>, <0>],
<6>: [<1>, <4>]}","Node <5> is connected to nodes <2>, <4>, <3>, <0>, <1>.
Node <2> is connected to nodes <5>, <3>.
Node <4> is connected to nodes <5>, <6>, <0>.
Node <3> is connected to nodes <5>, <2>.
Node <0> is connected to nodes <5>, <1>, <4>.
Node <1> is connected to nodes <5>, <6>, <0>.
Node <6> is connected to nodes <1>, <4>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,10,False,Which are the neighbor nodes of node <1>? ,"[<5>, <6>, <0>]","Let's solve it step by step.
Node <1> connects to nodes [<5>, <6>, <0>], so the neighbors of node <1> are ","('[[<5>, <6>, <0>], [<4>, <2>, <1>, <6>, <5>], [], [<3>, <6>, <4>, <1>, <5>, <2>]]',)",0,8
neighbor,"[(<3>, <2>), (<3>, <1>), (<2>, <0>), (<2>, <3>), (<1>, <4>), (<0>, <1>), (<0>, <5>), (<0>, <3>), (<0>, <2>), (<5>, <4>), (<5>, <1>), (<4>, <1>)]","{<3>: [<2>, <1>],
<2>: [<0>, <3>],
<1>: [<4>],
<0>: [<1>, <5>, <3>, <2>],
<5>: [<4>, <1>],
<4>: [<1>]}","Node <3> is connected to nodes <2>, <1>.
Node <2> is connected to nodes <0>, <3>.
Node <1> is connected to node <4>.
Node <0> is connected to nodes <1>, <5>, <3>, <2>.
Node <5> is connected to nodes <4>, <1>.
Node <4> is connected to node <1>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,12,True,"Which are the neighbor nodes of node <4>? In the context of a directed graph, we consider a node's successors as its neighbors. ",[<1>],"Let's solve it step by step.
Node <4> connects to nodes [<1>], so the neighbors of node <4> are ","('[[<3>, <4>], [<2>, <3>, <1>], [<1>], [<5>, <3>]]',)",2,9
