task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
edge,"[(7, 5), (7, 12), (7, 0), (5, 9), (5, 6), (12, 9), (12, 11), (12, 10), (0, 2), (9, 11), (9, 1), (6, 7), (11, 1), (2, 10), (2, 12), (2, 4), (2, 9), (10, 0), (10, 4), (4, 9), (4, 11), (3, 1), (8, 6)]","{7: [5, 12, 0],
5: [9, 6],
12: [9, 11, 10],
0: [2],
9: [11, 1],
6: [7],
11: [1],
1: [],
2: [10, 12, 4, 9],
10: [0, 4],
4: [9, 11],
3: [1],
8: [6]}","Node 7 is connected to nodes 5, 12, 0.
Node 5 is connected to nodes 9, 6.
Node 12 is connected to nodes 9, 11, 10.
Node 0 is connected to node 2.
Node 9 is connected to nodes 11, 1.
Node 6 is connected to node 7.
Node 11 is connected to node 1.
Node 2 is connected to nodes 10, 12, 4, 9.
Node 10 is connected to nodes 0, 4.
Node 4 is connected to nodes 9, 11.
Node 3 is connected to node 1.
Node 8 is connected to node 6.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",13,23,True,Is there a directed edge from node 12 to node 4?,No,"Let's do it step by step.
The successors of node 12 are: [9, 11, 10], which does not contain node 4. So the answer is ","('[Yes, No]',)",1,0
edge,"[(9, 10), (9, 2), (9, 11), (9, 1), (9, 5), (10, 7), (2, 0), (1, 6), (5, 3), (7, 8), (8, 4)]","{9: [10, 2, 11, 1, 5],
10: [9, 7],
2: [9, 0],
11: [9],
1: [9, 6],
5: [9, 3],
7: [10, 8],
8: [7, 4],
4: [8],
0: [2],
6: [1],
3: [5]}","Node 9 is connected to nodes 10, 2, 11, 1, 5.
Node 10 is connected to nodes 9, 7.
Node 2 is connected to nodes 9, 0.
Node 11 is connected to node 9.
Node 1 is connected to nodes 9, 6.
Node 5 is connected to nodes 9, 3.
Node 7 is connected to nodes 10, 8.
Node 8 is connected to nodes 7, 4.
Node 4 is connected to node 8.
Node 0 is connected to node 2.
Node 6 is connected to node 1.
Node 3 is connected to node 5.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",12,11,False,Is there an edge between node 5 and node 6?,No,"Let's do it step by step.
The neighbors of node 5 are: [9, 3], which does not contain node 6. So the answer is ","('[Yes, No]',)",1,1
edge,"[(10, 2), (10, 3), (10, 4), (2, 5), (2, 1), (2, 0), (2, 6), (3, 1), (3, 7), (4, 9), (4, 5), (4, 6), (4, 0), (5, 9), (5, 0), (1, 7), (0, 7), (6, 7), (6, 8), (7, 8), (7, 11), (8, 9), (8, 11), (11, 9)]","{10: [2, 3, 4],
2: [10, 5, 1, 0, 6],
3: [10, 1, 7],
4: [10, 9, 5, 6, 0],
5: [2, 4, 9, 0],
1: [2, 7, 3],
0: [2, 7, 4, 5],
6: [2, 7, 4, 8],
7: [1, 8, 11, 0, 6, 3],
8: [7, 9, 6, 11],
11: [7, 9, 8],
9: [4, 5, 11, 8]}","Node 10 is connected to nodes 2, 3, 4.
Node 2 is connected to nodes 10, 5, 1, 0, 6.
Node 3 is connected to nodes 10, 1, 7.
Node 4 is connected to nodes 10, 9, 5, 6, 0.
Node 5 is connected to nodes 2, 4, 9, 0.
Node 1 is connected to nodes 2, 7, 3.
Node 0 is connected to nodes 2, 7, 4, 5.
Node 6 is connected to nodes 2, 7, 4, 8.
Node 7 is connected to nodes 1, 8, 11, 0, 6, 3.
Node 8 is connected to nodes 7, 9, 6, 11.
Node 11 is connected to nodes 7, 9, 8.
Node 9 is connected to nodes 4, 5, 11, 8.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",12,24,False,Is there an edge between node 10 and node 5?,No,"Let's do it step by step.
The neighbors of node 10 are: [2, 3, 4], which does not contain node 5. So the answer is ","('[Yes, No]',)",1,2
edge,"[(2, 1), (2, 6), (2, 7), (2, 8), (2, 10), (2, 9), (2, 3), (2, 4), (1, 0), (1, 7), (1, 8), (1, 10), (1, 9), (1, 3), (1, 12), (1, 13), (6, 0), (6, 11), (6, 5), (6, 7), (6, 10), (6, 9), (6, 3), (6, 12), (6, 13), (7, 11), (7, 5), (7, 10), (7, 3), (7, 13), (7, 4), (8, 0), (8, 5), (8, 10), (8, 9), (8, 3), (8, 4), (10, 0), (10, 11), (10, 5), (10, 9), (10, 3), (10, 12), (10, 13), (10, 4), (9, 0), (9, 11), (9, 5), (9, 3), (9, 12), (9, 13), (9, 4), (3, 0), (3, 5), (3, 12), (3, 13), (3, 4), (4, 0), (4, 11), (4, 12), (4, 13), (0, 11), (0, 5), (0, 13), (11, 5), (11, 12), (11, 13), (5, 12), (5, 13), (13, 12)]","{2: [1, 6, 7, 8, 10, 9, 3, 4],
1: [2, 0, 7, 8, 10, 9, 3, 12, 13],
6: [2, 0, 11, 5, 7, 10, 9, 3, 12, 13],
7: [2, 11, 5, 1, 6, 10, 3, 13, 4],
8: [2, 0, 5, 1, 10, 9, 3, 4],
10: [2, 0, 11, 5, 1, 6, 7, 8, 9, 3, 12, 13, 4],
9: [2, 0, 11, 5, 1, 6, 8, 10, 3, 12, 13, 4],
3: [2, 0, 5, 1, 6, 7, 8, 10, 9, 12, 13, 4],
4: [2, 0, 11, 7, 8, 10, 9, 3, 12, 13],
0: [11, 5, 1, 6, 8, 10, 9, 3, 13, 4],
11: [0, 5, 6, 7, 10, 9, 12, 13, 4],
5: [0, 11, 6, 7, 8, 10, 9, 3, 12, 13],
13: [0, 11, 5, 1, 6, 7, 10, 9, 3, 12, 4],
12: [11, 5, 1, 6, 10, 9, 3, 13, 4]}","Node 2 is connected to nodes 1, 6, 7, 8, 10, 9, 3, 4.
Node 1 is connected to nodes 2, 0, 7, 8, 10, 9, 3, 12, 13.
Node 6 is connected to nodes 2, 0, 11, 5, 7, 10, 9, 3, 12, 13.
Node 7 is connected to nodes 2, 11, 5, 1, 6, 10, 3, 13, 4.
Node 8 is connected to nodes 2, 0, 5, 1, 10, 9, 3, 4.
Node 10 is connected to nodes 2, 0, 11, 5, 1, 6, 7, 8, 9, 3, 12, 13, 4.
Node 9 is connected to nodes 2, 0, 11, 5, 1, 6, 8, 10, 3, 12, 13, 4.
Node 3 is connected to nodes 2, 0, 5, 1, 6, 7, 8, 10, 9, 12, 13, 4.
Node 4 is connected to nodes 2, 0, 11, 7, 8, 10, 9, 3, 12, 13.
Node 0 is connected to nodes 11, 5, 1, 6, 8, 10, 9, 3, 13, 4.
Node 11 is connected to nodes 0, 5, 6, 7, 10, 9, 12, 13, 4.
Node 5 is connected to nodes 0, 11, 6, 7, 8, 10, 9, 3, 12, 13.
Node 13 is connected to nodes 0, 11, 5, 1, 6, 7, 10, 9, 3, 12, 4.
Node 12 is connected to nodes 11, 5, 1, 6, 10, 9, 3, 13, 4.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",14,70,False,Is there an edge between node 3 and node 6?,Yes,"Let's do it step by step.
The neighbors of node 3 are: [2, 0, 5, 1, 6, 7, 8, 10, 9, 12, 13, 4], which contains node 6. So the answer is ","('[Yes, No]',)",0,3
edge,"[(3, 2), (3, 9), (2, 5), (9, 1), (5, 10), (5, 4), (1, 7), (7, 8), (8, 6), (6, 0), (0, 10)]","{3: [2, 9],
2: [3, 5],
9: [3, 1],
5: [2, 10, 4],
1: [9, 7],
7: [1, 8],
8: [6, 7],
6: [8, 0],
0: [6, 10],
10: [0, 5],
4: [5]}","Node 3 is connected to nodes 2, 9.
Node 2 is connected to nodes 3, 5.
Node 9 is connected to nodes 3, 1.
Node 5 is connected to nodes 2, 10, 4.
Node 1 is connected to nodes 9, 7.
Node 7 is connected to nodes 1, 8.
Node 8 is connected to nodes 6, 7.
Node 6 is connected to nodes 8, 0.
Node 0 is connected to nodes 6, 10.
Node 10 is connected to nodes 0, 5.
Node 4 is connected to node 5.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",11,11,False,Is there an edge between node 10 and node 7?,No,"Let's do it step by step.
The neighbors of node 10 are: [0, 5], which does not contain node 7. So the answer is ","('[Yes, No]',)",1,4
edge,"[(2, 1), (2, 4), (2, 7), (1, 4), (1, 7), (1, 5), (4, 3), (7, 4), (5, 7), (3, 0), (6, 3), (0, 3), (0, 5), (0, 6)]","{2: [1, 4, 7],
1: [4, 7, 5],
4: [3],
7: [4],
5: [7],
3: [0],
6: [3],
0: [3, 5, 6]}","Node 2 is connected to nodes 1, 4, 7.
Node 1 is connected to nodes 4, 7, 5.
Node 4 is connected to node 3.
Node 7 is connected to node 4.
Node 5 is connected to node 7.
Node 3 is connected to node 0.
Node 6 is connected to node 3.
Node 0 is connected to nodes 3, 5, 6.","[0, 1, 2, 3, 4, 5, 6, 7]",8,14,True,Is there a directed edge from node 4 to node 3?,Yes,"Let's do it step by step.
The successors of node 4 are: [3], which contains node 3. So the answer is ","('[Yes, No]',)",0,5
edge,"[(2, 4), (4, 7), (4, 1), (4, 5), (4, 2), (0, 4), (0, 6), (0, 7), (0, 8), (6, 7), (6, 8), (6, 1), (6, 0), (6, 4), (6, 3), (7, 8), (7, 1), (7, 2), (7, 6), (8, 1), (8, 2), (8, 3), (1, 6), (5, 3), (3, 1), (3, 5), (3, 9), (3, 0), (3, 4), (9, 2), (9, 0), (9, 3), (9, 7), (9, 1), (9, 5)]","{2: [4],
4: [7, 1, 5, 2],
0: [4, 6, 7, 8],
6: [7, 8, 1, 0, 4, 3],
7: [8, 1, 2, 6],
8: [1, 2, 3],
1: [6],
5: [3],
3: [1, 5, 9, 0, 4],
9: [2, 0, 3, 7, 1, 5]}","Node 2 is connected to node 4.
Node 4 is connected to nodes 7, 1, 5, 2.
Node 0 is connected to nodes 4, 6, 7, 8.
Node 6 is connected to nodes 7, 8, 1, 0, 4, 3.
Node 7 is connected to nodes 8, 1, 2, 6.
Node 8 is connected to nodes 1, 2, 3.
Node 1 is connected to node 6.
Node 5 is connected to node 3.
Node 3 is connected to nodes 1, 5, 9, 0, 4.
Node 9 is connected to nodes 2, 0, 3, 7, 1, 5.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,35,True,Is there a directed edge from node 9 to node 5?,Yes,"Let's do it step by step.
The successors of node 9 are: [2, 0, 3, 7, 1, 5], which contains node 5. So the answer is ","('[Yes, No]',)",0,6
edge,"[(11, 6), (11, 0), (0, 13), (0, 8), (0, 4), (0, 14), (0, 1), (0, 7), (0, 2), (0, 5), (7, 10), (7, 3), (7, 12), (3, 9)]","{11: [6, 0],
6: [11],
0: [11, 13, 8, 4, 14, 1, 7, 2, 5],
13: [0],
8: [0],
4: [0],
14: [0],
1: [0],
7: [0, 10, 3, 12],
2: [0],
5: [0],
10: [7],
3: [7, 9],
12: [7],
9: [3]}","Node 11 is connected to nodes 6, 0.
Node 6 is connected to node 11.
Node 0 is connected to nodes 11, 13, 8, 4, 14, 1, 7, 2, 5.
Node 13 is connected to node 0.
Node 8 is connected to node 0.
Node 4 is connected to node 0.
Node 14 is connected to node 0.
Node 1 is connected to node 0.
Node 7 is connected to nodes 0, 10, 3, 12.
Node 2 is connected to node 0.
Node 5 is connected to node 0.
Node 10 is connected to node 7.
Node 3 is connected to nodes 7, 9.
Node 12 is connected to node 7.
Node 9 is connected to node 3.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",15,14,False,Is there an edge between node 13 and node 5?,No,"Let's do it step by step.
The neighbors of node 13 are: [0], which does not contain node 5. So the answer is ","('[Yes, No]',)",1,7
edge,"[(9, 0), (9, 3), (9, 4), (0, 6), (0, 8), (0, 5), (0, 2), (0, 4), (3, 4), (4, 2), (4, 5), (4, 7), (6, 2), (6, 8), (6, 10), (5, 1), (2, 1), (10, 1)]","{9: [0, 3, 4],
0: [9, 6, 8, 5, 2, 4],
3: [9, 4],
4: [9, 0, 2, 5, 7, 3],
6: [0, 2, 8, 10],
8: [0, 6],
5: [0, 4, 1],
2: [0, 6, 4, 1],
10: [6, 1],
1: [2, 5, 10],
7: [4]}","Node 9 is connected to nodes 0, 3, 4.
Node 0 is connected to nodes 9, 6, 8, 5, 2, 4.
Node 3 is connected to nodes 9, 4.
Node 4 is connected to nodes 9, 0, 2, 5, 7, 3.
Node 6 is connected to nodes 0, 2, 8, 10.
Node 8 is connected to nodes 0, 6.
Node 5 is connected to nodes 0, 4, 1.
Node 2 is connected to nodes 0, 6, 4, 1.
Node 10 is connected to nodes 6, 1.
Node 1 is connected to nodes 2, 5, 10.
Node 7 is connected to node 4.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",11,18,False,Is there an edge between node 7 and node 9?,No,"Let's do it step by step.
The neighbors of node 7 are: [4], which does not contain node 9. So the answer is ","('[Yes, No]',)",1,8
edge,"[(4, 3), (4, 0), (4, 2), (4, 7), (4, 6), (3, 5), (3, 7), (3, 6), (3, 8), (0, 5), (0, 2), (0, 7), (0, 6), (0, 1), (0, 8), (2, 5), (2, 7), (2, 6), (2, 1), (2, 8), (7, 5), (7, 6), (7, 1), (7, 8), (6, 8), (5, 1), (5, 8)]","{4: [3, 0, 2, 7, 6],
3: [4, 5, 7, 6, 8],
0: [4, 5, 2, 7, 6, 1, 8],
2: [4, 5, 0, 7, 6, 1, 8],
7: [4, 3, 5, 0, 2, 6, 1, 8],
6: [4, 3, 0, 2, 7, 8],
5: [3, 0, 2, 7, 1, 8],
8: [3, 5, 0, 2, 7, 6],
1: [5, 0, 2, 7]}","Node 4 is connected to nodes 3, 0, 2, 7, 6.
Node 3 is connected to nodes 4, 5, 7, 6, 8.
Node 0 is connected to nodes 4, 5, 2, 7, 6, 1, 8.
Node 2 is connected to nodes 4, 5, 0, 7, 6, 1, 8.
Node 7 is connected to nodes 4, 3, 5, 0, 2, 6, 1, 8.
Node 6 is connected to nodes 4, 3, 0, 2, 7, 8.
Node 5 is connected to nodes 3, 0, 2, 7, 1, 8.
Node 8 is connected to nodes 3, 5, 0, 2, 7, 6.
Node 1 is connected to nodes 5, 0, 2, 7.","[0, 1, 2, 3, 4, 5, 6, 7, 8]",9,27,False,Is there an edge between node 8 and node 0?,Yes,"Let's do it step by step.
The neighbors of node 8 are: [3, 5, 0, 2, 7, 6], which contains node 0. So the answer is ","('[Yes, No]',)",0,9
