task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,steps,choices,label,id
common_neighbor,"[(3, 2), (3, 4), (3, 6), (3, 1), (2, 4), (2, 0), (2, 1), (2, 5), (4, 6), (4, 0), (4, 1), (4, 5), (6, 0), (6, 1), (6, 5), (1, 0), (1, 5)]","{3: [2, 4, 6, 1],
2: [3, 4, 0, 1, 5],
4: [3, 2, 6, 0, 1, 5],
6: [3, 4, 0, 1, 5],
1: [3, 2, 4, 6, 0, 5],
0: [2, 4, 6, 1],
5: [2, 4, 6, 1]}","Node 3 is connected to nodes 2, 4, 6, 1.
Node 2 is connected to nodes 3, 4, 0, 1, 5.
Node 4 is connected to nodes 3, 2, 6, 0, 1, 5.
Node 6 is connected to nodes 3, 4, 0, 1, 5.
Node 1 is connected to nodes 3, 2, 4, 6, 0, 5.
Node 0 is connected to nodes 2, 4, 6, 1.
Node 5 is connected to nodes 2, 4, 6, 1.","[0, 1, 2, 3, 4, 5, 6]",7,17,False,Calculate the number of common neighbors of node 4 and node 6. ,4,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node 4 are [3, 2, 6, 0, 1, 5].
Secondly, the neighbors of node 6 are [3, 4, 0, 1, 5].
Common neighbors of node 4 and node 6: [0, 1, 3, 5], which contains 4 nodes.
So the number of common neighbors is ","('[8, 4, 0, 10]',)",1,0
common_neighbor,"[(1, 3), (3, 2), (3, 4), (3, 5), (4, 0), (5, 0)]","{1: [3],
3: [1, 2, 4, 5],
2: [3],
4: [3, 0],
5: [3, 0],
0: [4, 5]}","Node 1 is connected to node 3.
Node 3 is connected to nodes 1, 2, 4, 5.
Node 2 is connected to node 3.
Node 4 is connected to nodes 3, 0.
Node 5 is connected to nodes 3, 0.
Node 0 is connected to nodes 4, 5.","[0, 1, 2, 3, 4, 5]",6,6,False,Calculate the number of common neighbors of node 2 and node 1. ,1,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node 2 are [3].
Secondly, the neighbors of node 1 are [3].
Common neighbors of node 2 and node 1: [3], which contains 1 nodes.
So the number of common neighbors is ","('[0, 7, 6, 1]',)",3,1
common_neighbor,"[(1, 2), (1, 5), (1, 0), (1, 3), (2, 5), (2, 0), (2, 3), (5, 3), (5, 4), (0, 3), (0, 4), (3, 4)]","{1: [2, 5, 0, 3],
2: [1, 5, 0, 3],
5: [1, 2, 3, 4],
0: [1, 2, 3, 4],
3: [1, 2, 5, 0, 4],
4: [5, 0, 3]}","Node 1 is connected to nodes 2, 5, 0, 3.
Node 2 is connected to nodes 1, 5, 0, 3.
Node 5 is connected to nodes 1, 2, 3, 4.
Node 0 is connected to nodes 1, 2, 3, 4.
Node 3 is connected to nodes 1, 2, 5, 0, 4.
Node 4 is connected to nodes 5, 0, 3.","[0, 1, 2, 3, 4, 5]",6,12,False,Calculate the number of common neighbors of node 0 and node 3. ,3,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node 0 are [1, 2, 3, 4].
Secondly, the neighbors of node 3 are [1, 2, 5, 0, 4].
Common neighbors of node 0 and node 3: [1, 2, 4], which contains 3 nodes.
So the number of common neighbors is ","('[0, 7, 10, 3]',)",3,2
common_neighbor,"[(2, 4), (2, 1), (2, 0), (1, 3)]","{2: [4, 1, 0],
4: [2],
1: [2, 3],
0: [2],
3: [1]}","Node 2 is connected to nodes 4, 1, 0.
Node 4 is connected to node 2.
Node 1 is connected to nodes 2, 3.
Node 0 is connected to node 2.
Node 3 is connected to node 1.","[0, 1, 2, 3, 4]",5,4,False,Calculate the number of common neighbors of node 0 and node 4. ,1,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node 0 are [2].
Secondly, the neighbors of node 4 are [2].
Common neighbors of node 0 and node 4: [2], which contains 1 nodes.
So the number of common neighbors is ","('[1, 5, 0, 10]',)",0,3
common_neighbor,"[(1, 0), (1, 3), (0, 3), (0, 4), (0, 1), (4, 2), (4, 1), (5, 4), (5, 2), (2, 1)]","{1: [0, 3],
0: [3, 4, 1],
3: [],
4: [2, 1],
5: [4, 2],
2: [1]}","Node 1 is connected to nodes 0, 3.
Node 0 is connected to nodes 3, 4, 1.
Node 4 is connected to nodes 2, 1.
Node 5 is connected to nodes 4, 2.
Node 2 is connected to node 1.","[0, 1, 2, 3, 4, 5]",6,10,True,"Calculate the number of common neighbors of node 1 and node 5. In the context of a directed graph, we consider a node's successors as its neighbors. ",0,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node 1 are [0, 3].
Secondly, the neighbors of node 5 are [4, 2].
Common neighbors of node 1 and node 5: [], which contains 0 nodes.
So the number of common neighbors is ","('[0, 6, 9, 4]',)",0,4
common_neighbor,"[(3, 2), (3, 1), (3, 4), (3, 0), (3, 5), (2, 1), (2, 4), (2, 0), (1, 4), (1, 0), (1, 5), (4, 5), (0, 5)]","{3: [2, 1, 4, 0, 5],
2: [3, 1, 4, 0],
1: [3, 2, 4, 0, 5],
4: [3, 2, 1, 5],
0: [3, 2, 1, 5],
5: [3, 1, 4, 0]}","Node 3 is connected to nodes 2, 1, 4, 0, 5.
Node 2 is connected to nodes 3, 1, 4, 0.
Node 1 is connected to nodes 3, 2, 4, 0, 5.
Node 4 is connected to nodes 3, 2, 1, 5.
Node 0 is connected to nodes 3, 2, 1, 5.
Node 5 is connected to nodes 3, 1, 4, 0.","[0, 1, 2, 3, 4, 5]",6,13,False,Calculate the number of common neighbors of node 3 and node 5. ,3,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node 3 are [2, 1, 4, 0, 5].
Secondly, the neighbors of node 5 are [3, 1, 4, 0].
Common neighbors of node 3 and node 5: [0, 1, 4], which contains 3 nodes.
So the number of common neighbors is ","('[6, 3, 10, 0]',)",1,5
common_neighbor,"[(1, 4), (4, 3), (4, 2), (4, 0), (2, 4), (2, 3), (2, 1), (3, 1), (3, 0), (0, 3), (0, 1), (0, 2)]","{1: [4],
4: [3, 2, 0],
2: [4, 3, 1],
3: [1, 0],
0: [3, 1, 2]}","Node 1 is connected to node 4.
Node 4 is connected to nodes 3, 2, 0.
Node 2 is connected to nodes 4, 3, 1.
Node 3 is connected to nodes 1, 0.
Node 0 is connected to nodes 3, 1, 2.","[0, 1, 2, 3, 4]",5,12,True,"Calculate the number of common neighbors of node 2 and node 1. In the context of a directed graph, we consider a node's successors as its neighbors. ",1,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node 2 are [4, 3, 1].
Secondly, the neighbors of node 1 are [4].
Common neighbors of node 2 and node 1: [4], which contains 1 nodes.
So the number of common neighbors is ","('[4, 1, 7, 0]',)",1,6
common_neighbor,"[(3, 1), (3, 0), (1, 4), (0, 5), (0, 4), (5, 2)]","{3: [1, 0],
1: [3, 4],
0: [3, 5, 4],
4: [1, 0],
5: [0, 2],
2: [5]}","Node 3 is connected to nodes 1, 0.
Node 1 is connected to nodes 3, 4.
Node 0 is connected to nodes 3, 5, 4.
Node 4 is connected to nodes 1, 0.
Node 5 is connected to nodes 0, 2.
Node 2 is connected to node 5.","[0, 1, 2, 3, 4, 5]",6,6,False,Calculate the number of common neighbors of node 2 and node 0. ,1,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node 2 are [5].
Secondly, the neighbors of node 0 are [3, 5, 4].
Common neighbors of node 2 and node 0: [5], which contains 1 nodes.
So the number of common neighbors is ","('[0, 5, 4, 1]',)",3,7
common_neighbor,"[(4, 1), (4, 2), (4, 0), (4, 3), (2, 0), (2, 3), (0, 4), (0, 2)]","{4: [1, 2, 0, 3],
1: [],
2: [0, 3],
0: [4, 2],
3: []}","Node 4 is connected to nodes 1, 2, 0, 3.
Node 2 is connected to nodes 0, 3.
Node 0 is connected to nodes 4, 2.","[0, 1, 2, 3, 4]",5,8,True,"Calculate the number of common neighbors of node 0 and node 4. In the context of a directed graph, we consider a node's successors as its neighbors. ",1,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node 0 are [4, 2].
Secondly, the neighbors of node 4 are [1, 2, 0, 3].
Common neighbors of node 0 and node 4: [2], which contains 1 nodes.
So the number of common neighbors is ","('[6, 4, 1, 0]',)",2,8
common_neighbor,"[(2, 5), (2, 0), (0, 1), (0, 4), (1, 4), (1, 3)]","{2: [5, 0],
5: [2],
0: [2, 1, 4],
1: [4, 3, 0],
4: [1, 0],
3: [1]}","Node 2 is connected to nodes 5, 0.
Node 5 is connected to node 2.
Node 0 is connected to nodes 2, 1, 4.
Node 1 is connected to nodes 4, 3, 0.
Node 4 is connected to nodes 1, 0.
Node 3 is connected to node 1.","[0, 1, 2, 3, 4, 5]",6,6,False,Calculate the number of common neighbors of node 3 and node 0. ,1,"Let's calulate the number of common neighbors step by step.
Fisrtly, the neighbors of node 3 are [1].
Secondly, the neighbors of node 0 are [2, 1, 4].
Common neighbors of node 3 and node 0: [1], which contains 1 nodes.
So the number of common neighbors is ","('[10, 1, 5, 0]',)",1,9
