task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,id
euler_path,"[(5, 8), (5, 4), (5, 2), (5, 3), (5, 1), (5, 6), (8, 2), (8, 1), (8, 0), (4, 2), (4, 3), (4, 6), (2, 3), (2, 7), (2, 6), (3, 0), (3, 7), (6, 0)]","{5: [8, 4, 2, 3, 1, 6],
8: [5, 2, 1, 0],
4: [5, 2, 3, 6],
2: [5, 8, 3, 7, 4, 6],
3: [5, 2, 0, 4, 7],
1: [5, 8],
6: [5, 2, 0, 4],
0: [8, 3, 6],
7: [2, 3]}","Node 5 is connected to nodes 8, 4, 2, 3, 1, 6.
Node 8 is connected to nodes 5, 2, 1, 0.
Node 4 is connected to nodes 5, 2, 3, 6.
Node 2 is connected to nodes 5, 8, 3, 7, 4, 6.
Node 3 is connected to nodes 5, 2, 0, 4, 7.
Node 1 is connected to nodes 5, 8.
Node 6 is connected to nodes 5, 2, 0, 4.
Node 0 is connected to nodes 8, 3, 6.
Node 7 is connected to nodes 2, 3.","[0, 1, 2, 3, 4, 5, 6, 7, 8]",9,18,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[3, 5, 1, 8, 2, 6, 5, 4, 2, 3, 7, 2, 5, 8, 0, 6, 4, 3, 0]",0
euler_path,"[(6, 11), (6, 1), (6, 3), (6, 4), (6, 8), (6, 10), (6, 5), (6, 7), (11, 2), (11, 1), (11, 10), (11, 0), (11, 9), (1, 7), (1, 5), (3, 8), (3, 7), (4, 2), (4, 7), (4, 9), (8, 10), (8, 5), (8, 7), (8, 2), (8, 0), (8, 9), (10, 2), (10, 5), (10, 9), (5, 2), (5, 9), (7, 2), (7, 9), (7, 0), (2, 9), (0, 9)]","{6: [11, 1, 3, 4, 8, 10, 5, 7],
11: [6, 2, 1, 10, 0, 9],
1: [6, 11, 7, 5],
3: [6, 8, 7],
4: [6, 2, 7, 9],
8: [6, 10, 5, 7, 2, 0, 3, 9],
10: [6, 11, 8, 2, 5, 9],
5: [6, 8, 10, 2, 1, 9],
7: [6, 8, 2, 4, 9, 1, 3, 0],
2: [11, 8, 10, 7, 5, 4, 9],
0: [11, 8, 7, 9],
9: [11, 8, 10, 2, 7, 4, 5, 0]}","Node 6 is connected to nodes 11, 1, 3, 4, 8, 10, 5, 7.
Node 11 is connected to nodes 6, 2, 1, 10, 0, 9.
Node 1 is connected to nodes 6, 11, 7, 5.
Node 3 is connected to nodes 6, 8, 7.
Node 4 is connected to nodes 6, 2, 7, 9.
Node 8 is connected to nodes 6, 10, 5, 7, 2, 0, 3, 9.
Node 10 is connected to nodes 6, 11, 8, 2, 5, 9.
Node 5 is connected to nodes 6, 8, 10, 2, 1, 9.
Node 7 is connected to nodes 6, 8, 2, 4, 9, 1, 3, 0.
Node 2 is connected to nodes 11, 8, 10, 7, 5, 4, 9.
Node 0 is connected to nodes 11, 8, 7, 9.
Node 9 is connected to nodes 11, 8, 10, 2, 7, 4, 5, 0.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",12,36,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[3, 6, 4, 9, 10, 6, 1, 7, 4, 2, 7, 3, 8, 5, 10, 2, 8, 9, 7, 0, 8, 6, 7, 8, 10, 11, 1, 5, 6, 11, 0, 9, 5, 2, 11, 9, 2]",1
euler_path,"[(12, 5), (12, 8), (12, 11), (12, 2), (12, 14), (12, 10), (12, 4), (12, 13), (12, 9), (5, 14), (5, 10), (5, 9), (5, 11), (5, 2), (5, 1), (5, 13), (8, 3), (8, 14), (8, 9), (11, 3), (11, 4), (11, 1), (11, 0), (11, 2), (11, 7), (2, 13), (2, 14), (2, 9), (2, 1), (2, 10), (2, 4), (2, 0), (14, 3), (14, 13), (14, 4), (14, 10), (14, 7), (14, 1), (10, 3), (10, 0), (10, 9), (10, 6), (4, 3), (4, 0), (4, 9), (4, 6), (13, 3), (13, 7), (13, 1), (13, 6), (13, 9), (13, 0), (9, 3), (9, 1), (9, 0), (1, 3), (1, 0), (3, 7), (3, 0), (0, 6)]","{12: [5, 8, 11, 2, 14, 10, 4, 13, 9],
5: [12, 14, 10, 9, 11, 2, 1, 13],
8: [12, 3, 14, 9],
11: [12, 5, 3, 4, 1, 0, 2, 7],
2: [12, 5, 11, 13, 14, 9, 1, 10, 4, 0],
14: [12, 5, 3, 2, 13, 8, 4, 10, 7, 1],
10: [12, 5, 3, 2, 14, 0, 9, 6],
4: [12, 11, 3, 2, 14, 0, 9, 6],
13: [12, 5, 3, 2, 7, 1, 6, 9, 14, 0],
9: [12, 5, 3, 2, 13, 8, 1, 0, 4, 10],
1: [5, 11, 3, 2, 13, 14, 0, 9],
3: [11, 13, 10, 4, 8, 7, 14, 0, 9, 1],
0: [11, 3, 2, 13, 1, 4, 10, 9, 6],
7: [11, 3, 13, 14],
6: [13, 0, 4, 10]}","Node 12 is connected to nodes 5, 8, 11, 2, 14, 10, 4, 13, 9.
Node 5 is connected to nodes 12, 14, 10, 9, 11, 2, 1, 13.
Node 8 is connected to nodes 12, 3, 14, 9.
Node 11 is connected to nodes 12, 5, 3, 4, 1, 0, 2, 7.
Node 2 is connected to nodes 12, 5, 11, 13, 14, 9, 1, 10, 4, 0.
Node 14 is connected to nodes 12, 5, 3, 2, 13, 8, 4, 10, 7, 1.
Node 10 is connected to nodes 12, 5, 3, 2, 14, 0, 9, 6.
Node 4 is connected to nodes 12, 11, 3, 2, 14, 0, 9, 6.
Node 13 is connected to nodes 12, 5, 3, 2, 7, 1, 6, 9, 14, 0.
Node 9 is connected to nodes 12, 5, 3, 2, 13, 8, 1, 0, 4, 10.
Node 1 is connected to nodes 5, 11, 3, 2, 13, 14, 0, 9.
Node 3 is connected to nodes 11, 13, 10, 4, 8, 7, 14, 0, 9, 1.
Node 0 is connected to nodes 11, 3, 2, 13, 1, 4, 10, 9, 6.
Node 7 is connected to nodes 11, 3, 13, 14.
Node 6 is connected to nodes 13, 0, 4, 10.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",15,60,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[12, 5, 11, 1, 5, 14, 8, 9, 12, 2, 0, 9, 1, 2, 4, 9, 3, 4, 14, 10, 5, 13, 9, 5, 2, 10, 6, 0, 1, 13, 7, 11, 12, 8, 3, 13, 0, 10, 3, 0, 11, 2, 14, 1, 3, 11, 4, 6, 13, 12, 10, 9, 2, 13, 14, 3, 7, 14, 12, 4, 0]",2
euler_path,"[(14, 6), (14, 1), (14, 4), (14, 12), (14, 7), (14, 8), (14, 9), (14, 11), (14, 13), (14, 2), (14, 3), (14, 0), (6, 5), (6, 1), (6, 3), (6, 2), (6, 9), (6, 10), (6, 11), (1, 3), (1, 2), (1, 13), (1, 10), (1, 11), (1, 9), (4, 0), (4, 7), (4, 13), (4, 9), (4, 11), (4, 10), (4, 3), (12, 13), (12, 11), (12, 8), (12, 9), (12, 2), (12, 7), (12, 3), (7, 13), (7, 5), (7, 2), (8, 11), (8, 10), (8, 5), (8, 9), (9, 13), (9, 11), (9, 3), (9, 2), (11, 0), (11, 13), (11, 10), (11, 5), (13, 2), (2, 0), (2, 3), (2, 10), (3, 10), (0, 10)]","{14: [6, 1, 4, 12, 7, 8, 9, 11, 13, 2, 3, 0],
6: [14, 5, 1, 3, 2, 9, 10, 11],
1: [14, 6, 3, 2, 13, 10, 11, 9],
4: [14, 0, 7, 13, 9, 11, 10, 3],
12: [14, 13, 11, 8, 9, 2, 7, 3],
7: [14, 4, 13, 12, 5, 2],
8: [14, 11, 12, 10, 5, 9],
9: [14, 6, 1, 4, 13, 11, 12, 8, 3, 2],
11: [14, 6, 1, 4, 0, 13, 10, 9, 12, 5, 8],
13: [14, 1, 4, 11, 9, 7, 2, 12],
2: [14, 6, 1, 0, 13, 12, 3, 10, 7, 9],
3: [14, 6, 1, 4, 12, 10, 9, 2],
0: [14, 4, 10, 2, 11],
5: [6, 11, 8, 7],
10: [6, 1, 4, 0, 11, 8, 3, 2]}","Node 14 is connected to nodes 6, 1, 4, 12, 7, 8, 9, 11, 13, 2, 3, 0.
Node 6 is connected to nodes 14, 5, 1, 3, 2, 9, 10, 11.
Node 1 is connected to nodes 14, 6, 3, 2, 13, 10, 11, 9.
Node 4 is connected to nodes 14, 0, 7, 13, 9, 11, 10, 3.
Node 12 is connected to nodes 14, 13, 11, 8, 9, 2, 7, 3.
Node 7 is connected to nodes 14, 4, 13, 12, 5, 2.
Node 8 is connected to nodes 14, 11, 12, 10, 5, 9.
Node 9 is connected to nodes 14, 6, 1, 4, 13, 11, 12, 8, 3, 2.
Node 11 is connected to nodes 14, 6, 1, 4, 0, 13, 10, 9, 12, 5, 8.
Node 13 is connected to nodes 14, 1, 4, 11, 9, 7, 2, 12.
Node 2 is connected to nodes 14, 6, 1, 0, 13, 12, 3, 10, 7, 9.
Node 3 is connected to nodes 14, 6, 1, 4, 12, 10, 9, 2.
Node 0 is connected to nodes 14, 4, 10, 2, 11.
Node 5 is connected to nodes 6, 11, 8, 7.
Node 10 is connected to nodes 6, 1, 4, 0, 11, 8, 3, 2.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",15,60,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[11, 8, 10, 6, 5, 8, 12, 14, 3, 4, 10, 11, 5, 7, 4, 14, 0, 4, 9, 3, 1, 2, 9, 14, 13, 1, 10, 2, 6, 1, 14, 8, 9, 11, 1, 9, 13, 7, 2, 0, 10, 3, 6, 9, 12, 2, 14, 6, 11, 14, 7, 12, 3, 2, 13, 12, 11, 13, 4, 11, 0]",3
euler_path,"[(8, 0), (8, 6), (8, 3), (8, 5), (8, 2), (0, 2), (0, 9), (0, 6), (0, 1), (0, 8), (6, 4), (6, 5), (6, 9), (6, 8), (3, 9), (3, 1), (3, 5), (3, 7), (5, 9), (5, 7), (5, 8), (5, 4), (5, 0), (2, 9), (2, 3), (2, 8), (2, 0), (9, 5), (9, 6), (9, 0), (9, 2), (9, 1), (1, 7), (1, 5), (1, 3), (4, 2), (4, 6), (7, 3), (7, 0), (7, 8)]","{8: [0, 6, 3, 5, 2],
0: [2, 9, 6, 1, 8],
6: [4, 5, 9, 8],
3: [9, 1, 5, 7],
5: [9, 7, 8, 4, 0],
2: [9, 3, 8, 0],
9: [5, 6, 0, 2, 1],
1: [7, 5, 3],
4: [2, 6],
7: [3, 0, 8]}","Node 8 is connected to nodes 0, 6, 3, 5, 2.
Node 0 is connected to nodes 2, 9, 6, 1, 8.
Node 6 is connected to nodes 4, 5, 9, 8.
Node 3 is connected to nodes 9, 1, 5, 7.
Node 5 is connected to nodes 9, 7, 8, 4, 0.
Node 2 is connected to nodes 9, 3, 8, 0.
Node 9 is connected to nodes 5, 6, 0, 2, 1.
Node 1 is connected to nodes 7, 5, 3.
Node 4 is connected to nodes 2, 6.
Node 7 is connected to nodes 3, 0, 8.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,40,True,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[6, 5, 4, 2, 0, 9, 6, 8, 2, 9, 2, 8, 6, 4, 6, 9, 1, 5, 8, 5, 7, 3, 1, 3, 7, 8, 0, 2, 3, 9, 5, 0, 8, 3, 5, 9, 0, 1, 7, 0, 6]",4
euler_path,"[(3, 8), (3, 5), (3, 1), (3, 7), (8, 2), (8, 3), (8, 6), (8, 0), (5, 2), (5, 1), (5, 8), (1, 4), (1, 7), (1, 3), (7, 1), (7, 8), (7, 5), (7, 0), (2, 3), (2, 6), (2, 7), (6, 3), (6, 7), (6, 0), (6, 5), (0, 2), (0, 6), (0, 8)]","{3: [8, 5, 1, 7],
8: [2, 3, 6, 0],
5: [2, 1, 8],
1: [4, 7, 3],
7: [1, 8, 5, 0],
2: [3, 6, 7],
6: [3, 7, 0, 5],
0: [2, 6, 8],
4: []}","Node 3 is connected to nodes 8, 5, 1, 7.
Node 8 is connected to nodes 2, 3, 6, 0.
Node 5 is connected to nodes 2, 1, 8.
Node 1 is connected to nodes 4, 7, 3.
Node 7 is connected to nodes 1, 8, 5, 0.
Node 2 is connected to nodes 3, 6, 7.
Node 6 is connected to nodes 3, 7, 0, 5.
Node 0 is connected to nodes 2, 6, 8.","[0, 1, 2, 3, 4, 5, 6, 7, 8]",9,28,True,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[6, 3, 1, 3, 8, 6, 7, 5, 8, 0, 8, 2, 6, 0, 2, 3, 7, 8, 3, 5, 2, 7, 0, 6, 5, 1, 7, 1, 4]",5
euler_path,"[(1, 3), (1, 11), (1, 10), (1, 4), (1, 2), (1, 7), (1, 6), (1, 9), (3, 10), (3, 0), (3, 2), (3, 7), (3, 4), (3, 5), (3, 6), (3, 11), (3, 9), (11, 4), (11, 8), (11, 10), (11, 0), (11, 5), (11, 9), (10, 2), (10, 8), (10, 0), (10, 9), (10, 7), (4, 2), (4, 5), (4, 7), (2, 0), (2, 9), (2, 7), (2, 6), (2, 8), (2, 5), (7, 0), (7, 9), (7, 6), (6, 8), (6, 0), (6, 5), (6, 9), (9, 8), (9, 0), (0, 5), (5, 8)]","{1: [3, 11, 10, 4, 2, 7, 6, 9],
3: [1, 10, 0, 2, 7, 4, 5, 6, 11, 9],
11: [1, 3, 4, 8, 10, 0, 5, 9],
10: [1, 3, 2, 8, 11, 0, 9, 7],
4: [1, 3, 2, 5, 11, 7],
2: [1, 3, 4, 0, 9, 7, 6, 10, 8, 5],
7: [1, 3, 4, 2, 0, 10, 9, 6],
6: [1, 3, 2, 8, 0, 5, 9, 7],
9: [1, 3, 2, 8, 11, 0, 10, 6, 7],
0: [3, 2, 11, 5, 6, 7, 9, 10],
5: [3, 4, 2, 8, 11, 0, 6],
8: [2, 11, 6, 5, 10, 9]}","Node 1 is connected to nodes 3, 11, 10, 4, 2, 7, 6, 9.
Node 3 is connected to nodes 1, 10, 0, 2, 7, 4, 5, 6, 11, 9.
Node 11 is connected to nodes 1, 3, 4, 8, 10, 0, 5, 9.
Node 10 is connected to nodes 1, 3, 2, 8, 11, 0, 9, 7.
Node 4 is connected to nodes 1, 3, 2, 5, 11, 7.
Node 2 is connected to nodes 1, 3, 4, 0, 9, 7, 6, 10, 8, 5.
Node 7 is connected to nodes 1, 3, 4, 2, 0, 10, 9, 6.
Node 6 is connected to nodes 1, 3, 2, 8, 0, 5, 9, 7.
Node 9 is connected to nodes 1, 3, 2, 8, 11, 0, 10, 6, 7.
Node 0 is connected to nodes 3, 2, 11, 5, 6, 7, 9, 10.
Node 5 is connected to nodes 3, 4, 2, 8, 11, 0, 6.
Node 8 is connected to nodes 2, 11, 6, 5, 10, 9.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",12,48,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[9, 8, 5, 4, 3, 0, 5, 11, 0, 6, 8, 10, 2, 4, 11, 1, 10, 11, 8, 2, 5, 6, 3, 11, 9, 6, 2, 1, 6, 7, 3, 10, 9, 2, 7, 10, 0, 9, 7, 1, 3, 9, 1, 4, 7, 0, 2, 3, 5]",6
euler_path,"[(1, 6), (1, 11), (1, 10), (1, 7), (1, 4), (6, 5), (6, 11), (6, 7), (6, 8), (6, 2), (11, 8), (11, 13), (11, 0), (11, 5), (11, 3), (11, 10), (10, 1), (10, 9), (10, 4), (10, 3), (10, 13), (7, 1), (7, 4), (7, 8), (7, 11), (7, 6), (4, 6), (4, 12), (4, 3), (4, 11), (4, 7), (5, 13), (5, 1), (5, 2), (5, 12), (8, 9), (8, 3), (8, 7), (8, 2), (8, 10), (8, 11), (2, 5), (2, 12), (2, 4), (2, 6), (2, 3), (2, 13), (13, 2), (13, 1), (13, 10), (13, 9), (13, 11), (0, 5), (0, 13), (0, 1), (3, 10), (3, 7), (3, 9), (3, 8), (3, 4), (3, 12), (9, 6), (9, 2), (9, 3), (9, 0), (9, 10), (12, 2), (12, 0), (12, 8), (12, 9)]","{1: [6, 11, 10, 7, 4],
6: [5, 11, 7, 8, 2],
11: [8, 13, 0, 5, 3, 10],
10: [1, 9, 4, 3, 13],
7: [1, 4, 8, 11, 6],
4: [6, 12, 3, 11, 7],
5: [13, 1, 2, 12],
8: [9, 3, 7, 2, 10, 11],
2: [5, 12, 4, 6, 3, 13],
13: [2, 1, 10, 9, 11],
0: [5, 13, 1],
3: [10, 7, 9, 8, 4, 12],
9: [6, 2, 3, 0, 10],
12: [2, 0, 8, 9]}","Node 1 is connected to nodes 6, 11, 10, 7, 4.
Node 6 is connected to nodes 5, 11, 7, 8, 2.
Node 11 is connected to nodes 8, 13, 0, 5, 3, 10.
Node 10 is connected to nodes 1, 9, 4, 3, 13.
Node 7 is connected to nodes 1, 4, 8, 11, 6.
Node 4 is connected to nodes 6, 12, 3, 11, 7.
Node 5 is connected to nodes 13, 1, 2, 12.
Node 8 is connected to nodes 9, 3, 7, 2, 10, 11.
Node 2 is connected to nodes 5, 12, 4, 6, 3, 13.
Node 13 is connected to nodes 2, 1, 10, 9, 11.
Node 0 is connected to nodes 5, 13, 1.
Node 3 is connected to nodes 10, 7, 9, 8, 4, 12.
Node 9 is connected to nodes 6, 2, 3, 0, 10.
Node 12 is connected to nodes 2, 0, 8, 9.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",14,70,True,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[8, 2, 4, 11, 3, 7, 8, 11, 5, 13, 9, 6, 11, 0, 5, 1, 7, 4, 3, 8, 9, 2, 6, 2, 12, 8, 7, 1, 4, 7, 6, 5, 12, 2, 5, 2, 13, 1, 6, 7, 11, 13, 10, 13, 2, 3, 12, 0, 1, 11, 10, 9, 3, 9, 0, 13, 11, 8, 3, 10, 4, 12, 9, 10, 3, 4, 6, 8, 10, 1, 10]",7
euler_path,"[(11, 5), (5, 9), (5, 1), (9, 0), (1, 10), (7, 4), (7, 6), (4, 3), (4, 10), (6, 2), (6, 0), (6, 10), (6, 3), (3, 8), (3, 0), (3, 2), (3, 10), (10, 4), (10, 6), (10, 7), (10, 3), (0, 12), (0, 3), (0, 7), (8, 11), (2, 5), (2, 6)]","{11: [5],
5: [9, 1],
9: [0],
1: [10],
7: [4, 6],
4: [3, 10],
6: [2, 0, 10, 3],
3: [8, 0, 2, 10],
10: [4, 6, 7, 3],
0: [12, 3, 7],
12: [],
8: [11],
2: [5, 6]}","Node 11 is connected to node 5.
Node 5 is connected to nodes 9, 1.
Node 9 is connected to node 0.
Node 1 is connected to node 10.
Node 7 is connected to nodes 4, 6.
Node 4 is connected to nodes 3, 10.
Node 6 is connected to nodes 2, 0, 10, 3.
Node 3 is connected to nodes 8, 0, 2, 10.
Node 10 is connected to nodes 4, 6, 7, 3.
Node 0 is connected to nodes 12, 3, 7.
Node 8 is connected to node 11.
Node 2 is connected to nodes 5, 6.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",13,27,True,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[6, 3, 10, 7, 6, 10, 6, 2, 5, 9, 0, 7, 4, 3, 8, 11, 5, 1, 10, 4, 10, 3, 2, 6, 0, 3, 0, 12]",8
euler_path,"[(8, 4), (8, 1), (4, 1), (4, 3), (1, 3), (1, 4), (1, 5), (1, 2), (3, 0), (3, 2), (5, 8), (5, 6), (2, 1), (2, 7), (2, 0), (0, 2), (0, 8), (0, 1), (7, 5)]","{8: [4, 1],
4: [1, 3],
1: [3, 4, 5, 2],
3: [0, 2],
5: [8, 6],
2: [1, 7, 0],
0: [2, 8, 1],
7: [5],
6: []}","Node 8 is connected to nodes 4, 1.
Node 4 is connected to nodes 1, 3.
Node 1 is connected to nodes 3, 4, 5, 2.
Node 3 is connected to nodes 0, 2.
Node 5 is connected to nodes 8, 6.
Node 2 is connected to nodes 1, 7, 0.
Node 0 is connected to nodes 2, 8, 1.
Node 7 is connected to node 5.","[0, 1, 2, 3, 4, 5, 6, 7, 8]",9,19,True,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[0, 8, 1, 2, 0, 1, 5, 8, 4, 1, 3, 0, 2, 1, 4, 3, 2, 7, 5, 6]",9
